%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
48194.245   -1.181807344976    3.100298398806    1.1082    2.4411   0.118   10
48195.337   -0.835471492063   -2.703599999876    1.4410    5.5349  -0.379   12
48754.257   -0.680754547253    1.892998794517    0.7273    3.3274  -0.321    9
49121.421    1.478016672248   -4.841200803440    0.8929    3.4103  -0.341   18
49694.334   -0.275150350826    0.893599197838    0.4467    0.9238   0.114    8
50239.250   -1.068929352390    2.438798398430    0.8925    1.7476  -0.776    3
50458.831   -0.097334816260   -0.078400799453    0.1458    0.2124  -0.159  138
51288.208    0.138591538532   -0.052200004319    0.4071    0.6836  -0.077   28
51841.083   -0.248275813283   -0.590601602823    0.0750    0.1216  -0.049  152
52067.334    0.376114702694    0.049798795487    0.7811    1.0647   0.163   18
52254.170   -0.693539823518   -0.874602003620    0.5319    0.7086   0.150   13
52404.270    0.225755985171   -0.147099599701    0.2632    0.5480   0.115   19
52408.203   -0.037191319342    0.468000000353    0.2170    0.4020  -0.150   38
52522.238    0.566712045215   -0.153500399591    1.1071    2.4881  -0.198   18
52711.248    0.006390903978    0.173300394835    0.0594    0.2311  -0.075  143
52773.234   -0.138155671211   -0.315900003756    3.3131    1.1965   0.452    9
52815.231   -1.379088465379   -0.010101602754    1.2459    1.9358  -0.159   10
52850.229    0.879489582704    2.586599996590    1.3002    1.7688  -0.247   19
52878.229   -0.274860945230   -0.511599601083    1.3415    1.2245   0.022   10
52948.229    0.976677986786   -2.300601603622    1.6676    2.6005  -0.145   13
52982.081    1.419616446425   -1.455400804673    2.2256    1.9423   0.336   10
53151.228   -2.121293962873    1.230598797264    1.8563    1.9435  -0.330    6
53165.232    1.550509627657   -2.541200402106    1.3260    1.9813  -0.049   12
53171.203   -0.347786250105    0.381797998017    0.2312    0.3531   0.096   24
53467.246   -0.335147386018    0.717800398320    0.1330    0.2533  -0.251   18
53642.248    1.407124044065    0.152099996598    0.1288    0.2646   0.057  136
53717.205    0.855955175175    0.474001196693    0.4666    0.3667  -0.253    7
53719.250    0.042853531642    0.647200795356    0.1564    0.1716   0.055   51
54053.205    0.403860925332   -0.369799205657    0.1945    0.2729  -0.067   39
54116.207    0.988152291873    0.328201197419    0.3306    0.2581   0.331   21
54390.207    0.104740349203    0.212698799373    0.1498    0.1828  -0.372   30
54508.208   -0.333986394422   -0.783601203125    0.2421    0.2254  -0.034   16
54516.207   -0.533157198100    0.150598797433    0.1429    0.1397  -0.054   35
54522.208    0.232872112519    0.347698797754    0.1061    0.1368  -0.112   58
55042.251    0.193505172616    0.145997997691    0.1137    0.2315  -0.023  221
55154.248   -0.261350445596    0.375400798447    0.0800    0.1595  -0.209  137
55369.208    0.381051741172    0.036100799150    0.2230    0.2510  -0.056   31
55376.207    0.557416828998   -0.178200001955    0.2857    0.2001   0.031   30
55442.269    0.105176166977   -0.014400001191    0.5501    0.4207  -0.078    5
55560.271   -0.133218682280   -2.868901199804    0.5580    2.4555  -0.763    6
55713.208   -0.319314853645    0.011199598049    0.2788    0.3502   0.249   12
55847.251    0.034430000520    0.086000397204    0.0707    0.1027  -0.049  255
56050.210    0.168663262218    0.425098797763    0.2371    0.5308   0.340    9
56142.271   -0.142949716271   -0.139600804516    0.2434    0.4957  -0.154   27
56196.229   -2.030642924495    0.493898400578    1.0533    0.2627  -0.145    3
56203.224    0.343428072365    0.156797998585    0.2647    0.3128   0.157    8
56281.230    0.064208850301   -1.995901204310    1.0635    1.8906   0.278   12
56533.253   -0.013074681860   -1.206100800033    0.8706    1.0991  -0.601   17
56547.249    0.737700858029   -1.542898800722    0.1852    0.4001  -0.205   95
56574.227    0.273696485325   -0.412200002131    2.1958    1.8382  -0.722    3
56701.250   -0.330935620457    0.062600395268    0.0677    0.0979  -0.073  157
56721.229  -10.959482508542  -24.728000402519    0.6312    0.9151  -0.171   12
56877.271   -0.249000987105   -0.992001604061    0.4464    1.7355   0.245    7
56967.250    1.077352933059  -13.605300003405    0.2480    0.3142  -0.086   52
56986.207    0.000000000000    1.703897995498    0.1875    0.2279  -0.117   23
56995.250    0.087307440056    0.075301198876    0.1002    0.1615   0.111  244
57002.230   25.049034430501   -5.535399601087    2.8395    1.3229   0.303    5
57046.458    0.078590985483   -0.449499605537    0.1441    0.2988  -0.147   52
57070.207    0.167791626670   -1.039899603228    0.0849    0.1092   0.016   77
57135.251    0.048083444023    0.095198396366    0.1061    0.1313  -0.106  182
57203.209    0.318150344193   -0.222800402128    0.1365    0.1228   0.167   77
57218.232   -0.481583743576    0.473000397250    0.5883    0.6148   0.088   45
57280.207    1.569832220078   -0.749401200295    0.1076    0.0962  -0.067   67
57371.001    8.073463220063    9.882399596250    2.4001    3.2883  -0.002    3
57434.208    0.794504224934   -0.210999601791    0.1429    0.2169   0.097   46
57498.229   -0.259460762322    0.175697996951    0.1027    0.1456  -0.092  118
57560.208   -0.058400176276    0.638999995317    0.1373    0.2522   0.209   52
57569.248   13.862056084454    1.676800797412    0.3919    0.4959  -0.118   31
57633.269    1.367900048032    0.346600796064    0.1796    0.2436  -0.059   39
57665.188  -12.638559717288   -2.365902002310    1.4668    1.7168   0.392    6
57735.207   -0.248854574927    0.397997999357    0.2321    0.1361   0.106   59
57770.187 -286.034734588693   37.417697996034    2.0801    1.6172  -0.250    3
57875.189   -0.274568071326    0.864899998021    0.1352    0.2159   0.311   86
57890.230    1.769874708851   11.352700795442    0.7239    1.4249  -0.183   22
57966.209   -0.717799454417    0.398498399079    0.2577    0.2317  -0.171   28
57967.228   -0.224594944028   -0.128502002639    0.1313    0.1603   0.151  126
58001.189   -0.347350432331   -1.956200404862    1.5303    1.6543  -0.096    9
58010.244    2.945577037588    6.696899994552    0.6270    2.2411   0.169    5
58030.230   -3.532340416450 -105.262599603151    0.4484    2.0877  -0.210    9
58036.001    1.663823438017    0.727397994638    0.3387    0.5159  -0.297   56
58067.270    0.620028820382   -3.609298805429    0.3180    0.2892  -0.106   30
58085.500    0.541580778769    0.090399598207    0.2369    0.1593  -0.250   10
58086.500   -1.183693559941   -1.014400800159    0.1145    0.1052   0.004   46
58087.498    0.017575853016    0.036601198872    0.0909    0.0831  -0.105   69
58088.498    0.495673004854   -1.008399603819    0.2250    0.1751  -0.345   13
58089.499    1.311389555030    1.578200399166    0.3151    0.2735  -0.466    6
58090.500    1.857910840586   -1.229500801969    0.1386    0.1114   0.158   42
58091.497    1.489930312965   -0.627598804925    0.1666    0.1074  -0.168   42
58092.498    0.186531989138   -1.812801601631    0.1865    0.1207  -0.233   38
58093.499   -2.160228602858   -2.427699602947    0.1038    0.1022  -0.100   50
58094.496   -0.646181652411   -0.384901205308    0.1108    0.0868  -0.142   68
58095.500    5.626609911746   -1.591300799930    0.1228    0.1483   0.002   42
58096.497    1.026940470132   -0.754902003308    0.1144    0.1232  -0.226   37
58097.498    1.819122612779   -0.466099204033    0.1993    0.1699  -0.367   17
58098.499   -1.151153341791   -2.719000800511    0.1984    0.1669  -0.066   17
58099.500  -14.553563280828   -1.718600404388    0.1422    0.1670  -0.259   24
58108.291    0.220961940111    0.415198800141    0.3894    2.5705  -0.172    5
58145.291   14.151731563878   20.788700399521    1.6404    3.5336   0.128    3
58213.228   -0.235490537019    1.182099595809    0.8647    1.3650   0.060   34
58272.782   -0.687727730731    2.351401198553    0.1159    0.1878  -0.064  108
58276.251   -0.905931770781   -6.482401201424    0.5545    2.5115  -0.116    3
58386.484   -0.233311398602    1.128499194891    0.2517    0.5584  -0.111   15
58438.269   -0.395147939067    0.000000000000    0.2402    0.2083  -0.161   24
58443.269   -0.749325093150    0.164401196656    1.7691    0.2872   0.364   12
58450.227   -4.543158948613  -20.211598801012    2.1597    4.9778   0.803    5
58526.207    0.390496887424   -0.463100399628    0.1388    0.1474  -0.120   35
58528.270    2.571930829359   -1.550901602343    2.1210    6.0197  -0.255    3
58555.229    0.675667677836   13.886798399199    0.4486    2.0403  -0.025    3
58588.274    2.469369618573   -1.372500001651    1.2249    3.4035   0.039    6
58603.209    0.501195741592   -0.594601200277    0.2108    0.2077  -0.167   14
58619.250   -1.306452566100    3.600100799872    0.5792    2.0313  -0.263    3
58666.207   -0.251615943296   -0.389098801179    0.1960    0.3266  -0.139   51
59025.251    0.076122491018    0.552599994563    0.2719    0.2118   0.235   59
59102.228   -0.395001526889    0.223397997701    0.2780    0.2718  -0.086   48
59186.250    0.865250391392    0.259700395588    0.4260    1.2817  -0.284   21
59228.250   -0.098931675178   -0.274302001912    0.3118    0.2937   0.325   37
59319.248   -0.214424623954   -0.503398801044    0.2207    0.3800  -0.216   80
59389.249   -0.712569591582   -0.206301599803    0.6169    0.5726  -0.388   28
59452.251   -0.223576896302   -0.999799200230    0.5889    0.7321  -0.340   39
59494.251   -0.997161620350    1.734098394479    0.6454    0.5512  -0.375   34
59541.185   -0.048233324511    0.021398396655    0.2268    0.4180  -0.075   59
59563.228   -4.238229698459   -8.076600003193    0.3054    0.6349  -0.042   23
59613.249   -0.306675989559    0.609001195073    0.1581    0.2503   0.062  105
59662.251    0.240138120353    2.808698400258    0.5427    1.5718  -0.317   56
59760.248   -0.210938032216    2.332900797342    0.5623    2.0399  -0.332   41
59802.251    0.206143987155    2.444698798598    0.2611    1.2250  -0.344   33
60026.248   -0.514999115131   -1.161799200844    0.3892    0.8596  -0.294   53
60047.250    0.012345990182    0.019097996784    0.3038    0.4913   0.043   50
60173.250   -1.143019166717    0.156499197601    0.3301    0.4276  -0.125   22
