%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47164.912   -3.560571588474   -1.961600366940    4.5484    2.1744  -0.174    4
48043.320    6.595895600200    3.258000026563    5.9767    3.5960   0.190    3
49330.001    0.166323812800   -6.473800772255    3.1709    5.6633  -0.085    4
54456.854  -23.049342488933   26.416699228093    9.3855   11.2245   0.252    3
57828.250   -0.708629162731    0.053200835737    0.2695    0.3206  -0.074   15
58010.244    1.669167624944    0.847198816700    0.3237    0.3512   0.156   30
58016.230   -0.684354657179    2.689801226552    0.4835    0.7857  -0.815    9
58080.996    1.067369157578    0.511498836886    0.6583    0.7814  -0.432   27
58145.291   -2.263235966286    0.554400020292    0.2760    0.2777   0.012   73
58255.250    1.304147804514   -0.832899598890    1.1911    0.5331  -0.071   18
58597.208    2.016743183425   -0.906901152575    0.4997    0.5327   0.519    3
58606.269    0.000000000000    0.913600842978    1.1927    1.4505  -0.909    6
58757.209    1.117515689816   -0.840898781007    0.2712    0.4359  -0.025    9
58885.251    2.115825228058    0.000000000000    0.5415    0.3984   0.030   35
59053.248 -609.008561176411 -490.014698385721    8.2376    6.7308   0.984    3
