%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248   -5.120824631334 -174.725899195494    0.6536    2.0286  -0.010   15
52572.237    0.041141183630   -0.319899601209    0.2401    0.3202  -0.048   23
52573.242    0.004060397183    0.197899207421    0.3626    0.3030   0.200   22
52574.242   -0.847452370710   -0.160700393792    0.2103    0.2290   0.189   27
52575.236   -0.236771994281    0.283500007470    0.2696    0.4099   0.581   18
52576.244    0.226837585111   -0.121499994066    0.1952    0.2201   0.013   24
52577.245   -0.137415111826   -0.001998004961    0.2079    0.2308  -0.038   26
52578.242   -0.472563300221   -0.244098002611    0.2288    0.2074   0.011   25
52583.206   -0.393639365763   -0.340199996174    0.1585    0.3829  -0.064   32
52590.204   -0.305620630335    0.662900403370    0.2083    0.3344  -0.022   13
52597.206   -0.500411832786    0.654699603331    0.1956    0.3296   0.160   33
52604.204   -0.059051870703   -0.146498403808    0.1893    0.3569   0.077    9
52611.228    0.315417204780    0.186800399149    0.1901    0.3235   0.108   34
52618.204   -0.285889646721   -0.149399993177    0.1276    0.2472   0.074   30
52625.202   -0.354456122493    0.037299597011    0.1476    0.2917   0.106   27
52639.202   -0.821004521493   -0.329597993698    0.4169    0.2888   0.177   11
52646.204   -0.365931913338    0.154400396468    0.1065    0.1948   0.103   31
52653.202   -0.343121220882    0.270601205443    0.5542    0.3628   0.458   10
52661.205   -0.057513734443    0.984999601883    0.2255    0.3218   0.029    8
52667.206   -0.120344032954   -0.191498401136    0.1553    0.2404   0.131   17
52674.208   -0.124961878056    0.654501604913    0.1892    0.3081  -0.229   12
52681.206   -0.521680952660   -0.284698792541    0.2208    0.3326  -0.002    5
52689.205   -0.100193245239   -0.441198002932    0.1717    0.2141   0.277   16
52695.206   -0.229074440337   -0.121399197894    0.2274    0.3143   0.276    9
52702.204   -0.040019415147   -0.065699995844    0.1161    0.2122  -0.011   17
52709.206   -0.264059642605   -0.254800801258    0.1275    0.2335  -0.108   15
52716.204   -0.184574632999    0.154900796190    0.1568    0.2517  -0.218   13
52723.202   -0.180937476239    0.279701995964    0.2681    0.2724  -0.025   12
52724.229   -0.176877079055    0.476600403942    3.9100    3.8755   0.986   76
52730.204   -0.055414713942   -0.061099196103    0.1677    0.2466   0.198   18
52737.202   -0.068986279872   -0.368798393424    0.1605    0.2742   0.273   14
52744.204    0.026310205399    0.190000795897    0.1403    0.2007  -0.117   17
52751.202    0.296804553325   -0.373600798298    0.1347    0.2579  -0.144   18
52758.204   -0.027845096243   -0.489499193179    0.3052    0.2434  -0.150   17
52765.202   -0.124122269855    0.041399997031    0.3583    0.4298   0.347    7
52766.225    1.263344981011   -1.812999593653    0.3081    0.4157  -0.308   68
52772.204    0.138818849684   -0.355298395505    0.1178    0.2196   0.098   14
52779.206   -0.109287855302   -0.160099197899    0.2358    0.2803   0.259   11
52780.587  -31.515725650657   12.941301598346    1.6738    1.2406   0.093   22
52787.205   -0.068848636054   -0.469198798214    0.1805    0.1986   0.086   18
52793.206   -0.177018159196    0.109400399140    0.1053    0.1947  -0.015   38
52800.204    0.146513158212    0.208400400936    0.2394    0.3986  -0.026   12
52803.269   -2.633458992723    0.129599997933    3.4586    1.3285  -0.087    7
52807.206   -0.280851997519   -0.573098394341    0.2760    0.2403   0.058   12
