%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47931.082    0.061542832701   -0.268001991799    0.7539    1.3740  -0.429   16
47934.253   -0.142661256073   -1.502600386516    1.3978    1.4974  -0.162    7
48538.255    0.335179772368   -2.440202382559    0.9367    1.2186  -0.303   11
48853.258    1.288618147256   -0.610401585277    0.9006    1.6012  -0.257   23
49253.335   -0.353972419120    0.937299594739    0.3771    0.5123   0.030   13
49694.334   -0.294668552281    0.271098011240    0.5821    0.5265   0.434   10
50305.832    0.075177428717   -0.599601597173    0.3494    0.5161  -0.297   73
50459.832    0.419899591626    0.010800013683    0.1361    0.1526  -0.034  175
51120.168    0.270519245960   -3.348500382572    0.2373    0.4119   0.061   58
51704.001    0.019865333723   -0.767901582321    0.2397    0.6076  -0.194   21
51967.168    0.100495272359    0.131500800649    0.2507    0.8882   0.474   20
53131.252    0.046449823463    0.363898811884    0.0880    0.1172   0.041  174
53201.256    0.004772324485   -0.308300406004    0.1023    0.1066   0.091  159
53472.206    0.382309714841    0.147200395872    0.1189    0.1771   0.251   42
53549.208   -0.129709037495   -0.121600803027    0.1605    0.2209  -0.033   21
53808.203   -0.367118596825    0.021798012995    0.2197    0.3195   0.435   16
53886.206    0.024441374227   -0.346499993498    0.1319    0.1464   0.083   39
53978.249    0.059596001168    0.080499600585    0.1441    0.1806   0.733  219
54223.207    0.000000000000    0.376397997570    0.1915    0.2207   0.091   67
54319.206   -0.131071533944    0.470599201208    0.1231    0.1991   0.021   39
54592.208    0.489428292868    0.360100813168    0.1711    0.2117   0.150   42
54655.207    0.096307150110    0.381798017202    0.2501    0.3387   0.512   25
54928.206   -0.025708086750   -0.817901982941    0.2107    0.2967   0.164   23
55019.208    0.777377622707   -0.978001193630    0.3041    0.3160  -0.424   75
55112.251    0.211117203919   -0.140500782209    0.1985    0.1799   0.358  301
56904.665   10.182157616700  -13.964500800512    1.9166    3.1369  -0.908    4
56905.662  -21.803968489948   36.920098798987    2.2781    3.6645  -0.874    4
56906.659   -9.400007603083   22.400298013281    2.3346    4.7113  -0.891    3
56907.656  -31.221310326561   49.618000792861    2.4162    4.0417  -0.831    5
56908.412    8.848452142429  -23.752900804652    2.3496    3.6711  -0.910    3
56911.645   -3.306217328647   10.224900017874    1.6246    2.7299  -0.847    5
56912.642  -15.629253817693   52.184700004432    2.0862    4.1096  -0.866    3
56913.639   18.550532156102  -31.762101582444    2.0549    3.1561  -0.876    4
56914.636    3.465432199184   -1.692100795481    1.5812    2.6611  -0.852    5
56917.627   -7.819350178942    9.851400002958    1.7959    2.9700  -0.857    4
56918.625  -17.876082730745   60.014498407668    1.7708    3.1158  -0.840    5
56919.603   22.121715787160  -50.328899985175    2.0874    3.2224  -0.901    4
56921.616    5.825512252768    1.800799202556    2.8308    4.4323  -0.857    4
57281.584 -151.822356313416   63.935298015849   67.8742   61.0436   0.570   44
57324.249 -297.572734517652 -213.386400005788   36.4277   37.9802   0.563   58
57330.583  155.575639667237  117.992498408626   46.4289   32.8031   0.492   63
57350.584   84.349811733178  169.914398404103   49.6746   43.8343   0.635   59
57352.626  198.113575346031    1.860897612005   58.1895   52.7857   0.729   40
57360.833  -56.553520560917 -228.209201986829  110.2623   96.7095   0.889   27
57361.647 -197.063633537052  -84.561901186930   64.3069  186.7422  -0.017    4
57770.187 -261.048933686427 -210.110601582869    5.0690    2.9172   0.217    4
57834.230  -19.768062821687   10.081799996442    1.6271    2.0710   0.144    4
58530.834    0.384938923812    0.990698416103    0.8161    0.4776   0.851   92
58540.733   13.426733937443   14.357800810672    0.2000    0.2012  -0.219   93
58551.686   -1.343638174344    0.000000000000    0.2427    0.2437   0.077   81
58557.436   -0.774456345830   -0.001202391786    0.4940    0.3920   0.757  126
58670.101   -0.765692183077   -3.035599189616    0.3092    0.2941   0.016   64
58677.683   -0.052584777245   -3.006100789094    0.3811    0.4422   0.361   21
58747.059   -0.356505844166    0.789199208384    0.2746    0.3425   0.054   45
58792.207   -0.185799426702    0.591897602931    0.2246    0.1951   0.072   28
58890.208    1.500223769486   -0.122101189959    0.2684    0.1759  -0.121   55
58960.208   -2.979023424820    3.073798802689    0.5074    0.6961  -0.976  155
59065.206    1.099605242922   -0.455500801877    0.5128    0.5525  -0.077   11
59128.208    0.048300804647   -0.642801600748    0.2178    0.3895   0.228   29
59191.206   -0.389127046061    1.168300809695    0.5877    0.7061  -0.183   20
59198.208    0.039828842648   -0.782701187063    0.1453    0.2121   0.150   83
59271.737    1.319390692820   -0.270302385275    0.1206    0.1102  -0.172  116
59303.207   -0.776891595674   -1.387299593603    0.3844    0.4273   0.040   21
59408.209    0.296421291838   -0.137700001801    0.1481    0.2148   0.237   69
59478.209   -0.087056960324    0.099399605347    0.1888    0.2280  -0.406   87
59542.208   -0.335373797920   -0.582901202506    0.1485    0.2566   0.413   64
59604.209   -0.287269277254    0.188100005971    0.1937    0.2106  -0.451  102
59758.210    0.217740509587   -0.117799197596    0.2007    0.2445  -0.052   57
59779.208   -0.080435979508    0.007898398735    0.2246    0.2815   0.222   53
59905.208   -0.088323672847    0.139100404795    0.1243    0.1865   0.183   52
59975.208   -0.798605585727   -1.497499187053    0.6619    0.5681  -0.032   64
59996.206    0.755077039141    0.755099995331    0.1726    0.3212   0.050   42
