%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47288.249   -1.102475259086   -0.624700777507    2.4733    3.4404  -0.267    3
47553.673    0.830144180839  -15.382501186423    1.4595    1.5894  -0.113    7
47654.263    1.502287722152   -4.654900772039    3.7590    5.1413  -0.582    4
47844.660    1.105626938494   -0.967201179947    0.5017    0.5834  -0.324   11
48482.255   -2.739163022587    2.125198807335    1.8728    2.0721   0.136    5
48678.259   -0.598758718318   -0.283701587023    1.0546    0.4916  -0.081   18
49063.083    0.547718877561    0.888598839310    0.9751    0.6151   0.010    8
49547.332   -0.067887276606   -0.128998789251    0.2888    0.2671  -0.033   37
49694.334    0.461444159043    0.234799239252    0.4524    0.5106   0.032   13
50459.832    0.588048613700    0.130100448814    0.1600    0.1639  -0.017  180
50673.251    0.501275731611    0.354999639285    0.4458    0.4292   0.387   44
50687.836    0.123927065889   -0.463499958414    0.2894    0.2798   0.196   67
51309.086    0.106700330066   -0.317699965535    0.1042    0.1722   0.709  397
51704.001   -0.101084518116    0.133300807192    0.2367    0.2525  -0.112   22
51967.168    0.228162697704    0.132998405888    0.2005    0.3457   0.178   23
52096.083    0.537885105071    0.088898411832    0.1100    0.1228   0.247  573
53068.250    0.526037601586   -0.205099195227    0.2696    0.2365  -0.006  288
53080.205   -0.143570156067   -0.139100353636    0.2218    0.2572  -0.021   15
53423.208    0.554590337776   -0.046699182121    0.5101    0.4092  -0.566   32
53430.206   -0.007416836264    0.060998399931    0.0914    0.0956  -0.148   29
53703.205   -0.409243014162    0.446198419013    0.1815    0.2334   0.045   27
53766.207   -0.050162942920    0.026100030937    0.1037    0.1142  -0.079   31
53780.638   60.209338252703 -293.859298801635    0.3849    0.6521  -0.050   45
54039.209   -0.082080630908    0.186300025007    0.1732    0.2318  -0.524   54
54103.208   -1.257087655756   -0.024098380891    0.3321    0.2112   0.170   19
54383.209    0.325906169279   -0.045698357098    0.1263    0.1199  -0.039   32
54452.208    0.206363123842   -0.079700367905    0.0747    0.0706  -0.126   69
54643.249    0.670034270106   -1.424998794164    0.7569    0.5080  -0.607   48
54788.209   -1.178774600005   -0.114598788059    0.4416    0.2732  -0.364   20
54985.207    0.705601235364    0.649598416658    0.1200    0.1022  -0.060   57
55131.208   -0.256929255830   -0.339501559665    0.1274    0.1348  -0.460   76
55154.248   -0.213874368899   -0.231699561937    0.0860    0.1043   0.068  117
55414.269    0.332659347770    0.410101239368    0.2408    0.2349   0.022   23
55488.207   -0.027534217082    0.144900002397    0.1414    0.1305   0.021   36
55519.271    0.139376084620   -0.747601200146    0.3623    0.4073  -0.294    8
55750.270   -0.041301058932   -0.118699188079    0.3672    0.4241  -0.089   23
55845.206    0.079711472869   -0.101001575104    0.4438    0.1695  -0.676   45
55908.208    0.145418409023    0.152499632122    0.1600    0.1298  -0.188   42
56037.269    0.164706637866    0.131101222678    0.1947    0.1740   0.002   28
56104.208   -0.298870099605    0.244299633323    0.2255    0.1971  -0.694   28
56167.207   -1.221141940069    0.515401200119    0.4065    0.2498  -0.336   99
56230.209    0.071346621034    0.322200020264    0.1416    0.1424   0.005   28
56295.209   -0.014738714189    0.333799215468    0.1486    0.4110  -0.106   48
56296.271   -0.376425104953   -0.532299554834    0.2740    0.3119  -0.293   21
56300.209    0.068622035951    0.141400823850    0.1949    0.1911   0.558   73
56303.270    0.132788949878    0.035301604839    0.2141    0.2258  -0.175   51
56315.210   -0.029737897082   -0.281498370214    0.1289    0.1127   0.133   41
56392.230    0.185108360319    0.334198819019    0.1528    0.1413   0.038   53
56587.208   -0.773630682788    1.005699613188    0.2418    0.2786  -0.096   25
56604.272    0.280032272309    0.245401241727    0.1380    0.1459   0.126  121
56618.272   -0.092174855940    1.409900420413    0.2903    0.5732  -0.248  165
56636.206    0.117576510758   -0.076899561918    0.1098    0.1005  -0.108  438
56686.209   -0.260293625756   -0.017398792806    0.1216    0.1603   0.265   38
56723.271   -0.028007942013   -0.064000772682    0.1380    0.1522   0.034   28
56734.206   -0.603118865839   -0.083599201162    0.2360    0.2659   0.036    7
56772.273   -0.011397667648    0.289501235784    0.1181    0.2747   0.290  284
