%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248  -36.032648543528 -311.281502401428    1.0197    3.5824   0.228   14
53103.271    0.103254380329   -0.587102398697    0.1898    0.3248  -0.268   14
53111.269    0.102659975782   -1.191301198489    0.2407    0.6202  -0.054   10
53118.268    0.058791291684   -0.055601999804    0.3480    0.7462  -0.377   14
53125.270    0.103404813535   -0.244400400717    0.2387    0.4582  -0.253   11
53132.271    0.622069397047   -1.655301601389    0.4357    1.2571  -0.863    9
53139.270    0.320359826986   -0.471200400298    0.2479    0.6529  -0.105   14
53145.271    0.071772720584    0.503298001675    0.9675    2.6604  -0.963    4
53152.251    6.736387141932    3.072700800999    0.5223    0.5060  -0.221    3
53153.270   -0.132949162295   -0.777200400037    0.3200    0.8090  -0.537   10
53158.208   -0.299023757185    1.556398798641    0.3190    1.8090   0.678    6
53160.275    0.047449767932   -1.252299598420    0.2129    0.6186  -0.438   15
53167.270    1.003906532155   -0.561902399809    0.6644    1.5015  -0.756    4
53171.203    0.445401983859    0.066999599468    0.7062    0.4699   0.200    4
53174.271   -0.646392553261    1.257897600482    0.4135    1.0125  -0.668   12
53180.247    4.044278870561    0.082900799825    0.4215    0.4659  -0.225    6
53181.270    0.140408532238    0.663897599296    0.2254    0.5381   0.019   11
53188.271    0.318870151480    3.328700400118    3.0586    2.4756   0.570    3
53193.206   -0.296337944309   -0.320000400578    0.2363    0.6510   0.009   37
53195.270   -0.187858503733   -0.362001599896    0.3242    0.6685  -0.341   12
53202.272   -0.113997835396    0.164300400485    0.2292    0.6570  -0.353   39
53209.273    0.265600918753   -1.861502398626    0.4523    1.1836  -0.190   15
53216.268    0.191887223047    0.274697998748    0.5306    1.2804   0.050   10
53223.270   -0.604611613354   -1.346500798860    0.3558    1.2110   0.032   11
53237.270   -0.473155790702    0.649299599687    0.5956    1.5988   0.745    7
53244.268   -0.175772345792   -0.065901600976    0.5033    0.5929   0.184   42
53251.270    0.098183620989    0.080697599003    0.3447    0.8479  -0.094   13
53258.272   -0.184578286310   -0.625701599333    0.2146    0.6505  -0.210   24
53265.270    0.057297952040   -1.765202400250    0.2846    0.7233  -0.011   14
53272.268    0.105642990931    0.027298800021    0.4267    1.6153  -0.659    8
53279.270    0.257543480126   -0.135702000037    0.2135    0.6698  -0.261   16
53285.253   -0.219641029890   -0.719600398469    0.1810    0.2925   0.175   42
53286.272    4.619944203839  -13.101501598811    1.7923    5.2878  -0.984    3
53292.247   -1.287262844002    0.660600000302    0.5668    1.5400  -0.851    4
53293.270   -0.042375548018   -1.214100001334    0.2263    0.5935  -0.159   10
53307.270   -0.057000749767   -1.177502399585    0.3106    0.8503  -0.546    8
53314.268   -0.679815188129    0.942897599998    0.3424    0.9993  -0.454    9
53321.270   -0.591483211823    1.037098800438    1.2865    1.6293  -0.081    3
53333.272    4.890021680949   -2.456999998657    2.5894    2.3694  -0.643    4
53342.272   -0.747559189399    2.947197599568    0.5799    1.1898  -0.835    6
53349.270    3.512632654586    2.482397999160    1.7280    2.1561  -0.138    6
53356.272    0.564474242733    0.328399199034    0.2720    0.6058  -0.546   16
53360.206    0.109073641560    1.431900000171    0.1492    0.6910   0.143   22
53362.269   -0.007162371232    1.668099600849    0.4752    0.9970  -0.567    7
53369.271   -0.596854837575    1.141200001697    0.3053    0.8806  -0.629    7
53377.266    0.057896020725    0.912798000385    0.2466    0.5883  -0.398   16
53384.268    0.511054576801   -1.059101999701    0.4352    1.0198  -0.627    9
53391.270   -0.559253050187    0.429098401611    0.3830    1.0943  -0.730   11
53398.272    0.669820031390   -1.002700799191    0.3244    0.7817  -0.458    9
53405.270    0.073710235132   -0.764301601208    0.3689    0.7887  -0.549   18
53416.206   -0.145483159279    1.143100801215    0.3415    0.3664  -0.133   16
53418.255   -2.211342677520    6.540800400501    0.6412    2.0054  -0.867    3
53419.270   -0.280670498970   -0.315900000558    0.2452    0.6077  -0.263   22
53426.268   -0.967798287974    2.848298400338    0.5917    1.3586  -0.832   12
53433.270    0.045362023742   -1.285200000822    0.2002    0.6002  -0.164   20
53440.268    0.233370960680    1.049299201128    0.4215    0.7905  -0.202   15
53447.270   -0.172789127079   -0.539301598579    0.2749    0.7444  -0.556    5
53451.208    0.007011734463    0.325598399442    0.2954    0.2293   0.058   15
53453.268    0.119519894353    0.560599199062    0.4110    2.5777  -0.512    4
53461.270   -0.197259052362   -0.918302400521    0.3751    0.6725  -0.257   12
53465.204   -0.066401298395   -1.008900000343    0.4849    0.4775   0.162   21
53468.268   -0.298278919432    0.000000000000    0.6550    0.8068  -0.631   11
53475.270    0.059983764916    0.320400000930    0.2831    0.6103  -0.087   29
53481.249    0.740099615894    0.976100400507    0.4215    0.8678  -0.254    4
53482.269   -0.525232550197    0.258998400327    0.2415    0.5429  -0.260   20
53488.251   -0.309469806415   -0.062802000400    0.1912    0.2966  -0.032   84
53489.267    0.256347342756   -0.145699199905    0.3444    0.6858  -0.335   19
53496.269    0.974064981121    0.767998800555    1.1264    0.8928   0.558    4
53503.270   -0.375720671604    0.116600399735    0.3608    0.6622  -0.403   17
53517.270   -0.163986850699    0.756298799587    0.2246    0.4580  -0.021   22
53524.269   -0.373930129687    0.326397600148    0.2469    0.4874  -0.268    8
53531.270    0.164434282615   -0.903902399330    0.3280    0.6700  -0.235    9
53538.269   -0.045956631852   -0.441701999776    0.2550    0.6417  -0.327    8
53542.206    0.339461587091    0.349099200747    0.2824    0.4155  -0.385   12
53545.270   -0.562386498542    0.169397999628    0.2895    0.6207  -0.114   10
53552.269    4.269889594888   -0.664901999059    2.2179    1.9470  -0.311   12
53559.271   -0.428689037919   -0.097401600385    0.2676    0.4732  -0.032   13
53566.269   -0.079830362774    0.131900401001    0.3369    0.5299   0.018   20
53573.271   -0.257242817278   -0.076301998320    0.3850    0.5410  -0.025    6
53580.269   -0.112207293478    1.052100000720    0.5343    2.4743  -0.569    4
53587.271    0.137425517088    0.518698799112    0.2687    0.4903  -0.086   19
53593.250    9.073369841447  -30.025699200564    1.8227    5.9704  -0.975    3
53594.269   -5.284242379836    2.424999599526    1.6699    1.0725  -0.321    9
