%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
49482.167   -0.370867378083   -0.735098401350    0.3988    0.4068  -0.033    7
49706.168   -0.075205495692   -0.208000797386    0.5280    0.5214   0.153    3
49896.281   -0.822985113306    0.623300400093    0.7055    1.6435  -0.146    6
49897.395    0.329725686541    2.373800401045    0.9150    2.4092   0.177    7
50182.081   -1.161703557236    2.416499998503    1.8935    2.8100   0.435    3
50316.252   -0.133009282115   -1.440799198349    0.6878    0.9797  -0.536    5
50372.252    0.369243002625    1.192499999547    0.6047    1.5822  -0.361    3
50459.832   -0.629071759898    0.109900798861    0.1642    0.3214   0.044  109
50463.254    0.708407448214   -5.740797597298    0.7586    4.8818  -0.912    4
50575.751   -0.278260273709    0.000000000000    0.3828    0.5582   0.022   64
50582.253   -0.022412941253   -1.330599598504    0.4502    1.5324  -0.536    3
50729.251    2.772134472633  -21.174998401108    1.2454    7.0241  -0.935    3
50736.253   -0.109711479204    1.206302398771    0.4318    1.8313  -0.382    4
50743.251    0.304212460418    1.847001604460    0.3695    1.3966  -0.461   10
50995.252    1.746830574575    0.857001599286    0.7841    1.2119   0.254    4
51086.254    0.104696726684   -0.193399197457    0.5993    1.0057   0.199    3
51100.250    1.757302761912    1.771801201755    1.0120    1.4271   0.391    3
51351.086    0.204088306893    0.681199199448    0.3023    0.2627  -0.284  192
51373.253    0.692775261086    0.649900798777    0.5028    0.6617   0.374    7
51449.166   -2.203078301248   -1.275699597159    0.9620    2.7298  -0.652    4
51450.251    0.847316344507   -0.305899197173    0.4937    1.3002  -0.568    7
51478.251    1.821448643635    1.031202003787    0.4726    0.8030   0.246   12
51625.250    0.195091928382    0.929199603661    0.6434    0.8828   0.156    3
51674.252    0.218686965144    1.500501604568    0.3700    0.9092  -0.238   13
51709.250    0.450496779715    1.421099999277    0.5463    1.8040  -0.103    3
52212.082    0.950537262365   -0.516700800546    0.1090    0.2786  -0.510  117
52780.587  114.504628146623  -15.027400795731   11.2839    6.2970  -0.138    4
52807.586  -14.666839371539  -44.925800398232   13.1130    8.1753   0.108    3
52836.583   70.338070474617   44.543001600772    5.0470    4.4730   0.485   14
52892.583 -335.930669223578  305.593199999521   12.3876   14.0024  -0.274    5
52955.582   -6.196047259147   54.885099601165    8.2100    7.9611   0.138    3
53038.205    0.000000000000   -0.372797997272    0.9192    8.7150  -0.818    3
53066.585   -0.609755482391    9.956502003661    3.7926    3.8459  -0.089   14
53074.237   -0.209541919413    0.680900398464    0.8773    2.7193   0.316   12
53101.583   11.991736009806    5.880099600830    3.4074    3.7056  -0.105   19
53131.252    0.245230099022   -0.597898799271    0.2148    0.4089   0.243   55
53145.581  -20.767625142513 -143.296099197698   21.0471   52.2020  -0.940    5
53185.207  -13.448068121731    6.132200398667    1.6491    2.8234  -0.285    7
53201.256   -0.426165548514   -1.132797599723    0.2527    0.5015   0.261   44
53235.228   -8.106266628436   -6.187100400012    2.7938    5.6674   0.575    6
54612.995    1.151528704338   -2.046599996675    0.4926    1.4688   0.348   36
54894.230   -2.771394657072   -3.695597997222    3.1880    2.5200   0.524    7
54929.228    0.953633926112   -0.138700801244    1.1390    2.2503   0.445    4
55525.999    4.630003668018   -9.181098000255    3.3800    6.9225  -0.944    6
55972.229   -1.600992055763   -2.926299599437    1.4518    3.5010   0.625    4
56511.787    1.624438525893   -0.003600000298    1.0123    0.8766   0.259    8
56551.793   -0.114429098460    0.048401999209    0.7878    0.9981   0.707    9
56565.789    0.172381652689    1.781200799655    1.0473    0.8531   0.505    5
58330.955   -0.290055981529    0.462002404333    0.1956    0.3762   0.194   50
