%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
46840.289   -0.773829539985    2.293599601444    0.9624    1.7262  -0.071   21
49694.334   -0.042490426454   -1.555599604330    1.1287    3.9529  -0.665    9
50029.250   -0.102488262930   -0.813700799540    0.3814    0.9021  -0.103    6
50036.252    1.157800477858   -9.335998802840    1.0738    4.4846  -0.924    5
50043.250    0.092439226747    0.233999993782    0.2780    0.6037   0.025   21
50065.333    0.189043448195   -3.424298400034    0.5923    2.0652  -0.750    8
50176.252    0.355694542304    0.486799196153    0.3622    1.0033  -0.335    6
50365.254   -0.402921869379   -0.147599999423    0.3857    0.6411  -0.227    8
50393.251    0.546460562124   -1.490000404658    0.3500    0.6122  -0.050    6
50407.247    0.287797432765   -0.432799204475    0.4550    1.0326  -0.181    4
50458.831    0.149856779586    0.287099994978    0.1961    0.4290  -0.081   72
50631.251    1.211628368848   -3.500200807594    1.0262    5.5743  -0.898    6
50631.755    0.781150053263   -1.123599606956    0.2948    0.8824  -0.075   90
50680.253    4.557568901766   -5.838001199265    1.2073    5.9915  -0.631    3
50700.090   -0.324259103313   -0.674899202124    0.1792    0.3730   0.204  188
50708.253   -0.122155716869    2.935000799198    0.8932    4.7806  -0.712    3
50743.251    0.823061719933   -2.575800002091    0.5553    2.2127  -0.718    7
50750.253    0.516316978418   -1.678600797561    0.5875    2.1851  -0.867    6
50757.251   -0.456029713093    0.000000000000    0.4800    1.6270  -0.676    9
50771.252    0.196935965307   -3.753500396897    0.5466    2.5342  -0.789    5
51135.252    0.521625687048    0.479401197140    0.3549    0.6544  -0.051    7
51142.251    0.170382043450   -0.801698406860    0.3322    0.5870   0.108   10
51351.086    0.208993379207    0.018500401211    0.3247    0.3292   0.197  186
51478.251    0.683109262106    0.250901993581    0.3537    0.7066  -0.013   16
51485.250   -0.189904782964    0.682099202720    0.3640    0.8419  -0.221    8
51499.250   -1.051725980010    0.640000794760    1.1150    1.1314  -0.776    3
51506.251   -0.033302627127   -4.206898803716    0.5352    2.9635   0.495    4
51513.250   -0.160622338202   -0.363999595265    0.3463    0.5115   0.231    8
52212.082    0.850766307494    0.047998801733    0.1256    0.1880  -0.035  119
52353.230    2.283448994293    3.443900396860    4.6944    4.0065  -0.652    5
52619.230    0.559379212880   -1.332198006310    0.7221    0.9178  -0.101   11
52752.229   -2.474790249053   -1.079701205242    1.2222    0.8199   0.201    9
52850.229   -0.655697530324    1.858399194532    0.9445    0.8020  -0.504    9
52878.229    0.397606208974    0.040499993759    0.7664    0.6839   0.018   13
52982.081   -4.168575159267   -2.432401198860    1.4932    0.7773   0.265   10
53095.001   -1.739716857162   -1.595700007329    2.4970    3.8326   0.123   19
53192.001    1.170143893674   -3.994999198653    1.1955    2.5663   0.044    5
53396.230   -5.687382412902    0.553399195269    2.2661    2.2525   0.015   13
53472.001    0.223348599671    6.223100396596    0.8293    6.1363   0.319    8
53501.437    0.675647461335   13.645299597442    0.7057    4.9272   0.298   11
53503.201   -1.950005518584   -0.616500003048    0.4413    0.7882   0.033   37
53564.227   -1.546081222768   -1.954198799581    2.0783    4.7019   0.870    5
53752.166   -4.617284359082    0.818301599281    2.1424    2.2696   0.073   14
53768.252    0.000000000000    0.200998795208    0.1260    0.2489  -0.428  157
53837.251   -0.064021543685    0.109299602968    0.7422    2.0288  -0.260   10
53929.082    1.371103566190   -5.530697998779    0.7646    3.4078  -0.136   11
54087.561    1.260144124277    0.536101198634    0.3457    0.4645  -0.080   35
54112.274   -0.101771740498    0.583001998677    0.4717    0.8735  -0.160   36
54173.241   -0.144403356532   -1.239598798009    0.8408    1.1532  -0.433   13
54179.206    0.481436494090   -0.974800796882    0.1894    0.3672  -0.001   20
54264.229    0.332871569788    0.717299998598    0.8520    1.3144  -0.410   21
54391.230    0.699331670707    0.427100403044    0.6046    1.1251  -0.281   10
54523.231   -0.176844844715    1.315101602017    0.5331    1.1329  -0.459   10
54559.230    0.450862291956   -1.020797999729    0.1741    0.2657   0.109   62
54621.228   -0.361151490201   -0.487501201007    0.5462    1.2403  -0.090   14
54741.249   -0.721868837131    0.948301200765    0.9018    1.8796  -0.517   15
54971.232    0.200525627156   -1.068598803045    0.6846    1.0418  -0.509    9
55035.249    1.952444612641   -2.626099197300    0.9578    1.2987  -0.470    5
55174.227   -0.529525058022    1.171198805139    1.2178    1.2615  -0.204   11
55412.228   -2.270244341620   -9.106200005249    1.5010    5.1290   0.905    3
55545.241   -0.917946992513    0.082900803022    0.8278    0.9685  -0.204   11
56626.286   -0.520481973119    1.042401595441    0.2239    0.7584   0.044   11
56628.225    0.471818076335    3.096500400090    0.2714    1.4207   0.418   11
56632.269    0.566410493135    0.158101192937    0.2464    0.7032   0.069   13
56634.263   -0.435504547143   -0.442997996686    0.2261    0.5929   0.202   14
56636.257   -0.455168476237   -0.972601199578    0.2138    0.6254   0.115   19
56638.251    0.539139950933    0.625399201226    0.2312    0.6789   0.154   15
56641.243    0.019378025090    0.190400399447    0.2132    0.5731   0.216   19
57974.230   92.995472080089 -236.235700799625    0.4609    1.5130  -0.077   32
58142.227   -1.096080167669    0.819100793592    0.3352    1.0291   0.126   59
58238.207   -0.031004820562    2.546701205119    0.1766    0.3368   0.065   64
58324.227   -0.174261036234    2.647000800948    0.4169    1.0680   0.078   21
58445.165   -1.939095343457    1.473101998783    0.2631    0.7768   0.058   35
58577.250   -1.779192954619   -0.820998002382    0.2866    0.9739   0.174   59
