%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
50687.836    1.947491017642    0.000000000000    0.9115    0.4739  -0.257   41
53780.638 -152.669933384828 -252.681699589630    0.6081    1.0020   0.142   44
56036.250    0.899831690937    0.964101604950    0.1980    0.2807  -0.126   88
56162.250    0.000000000000    1.863900035914    0.2788    0.2552   0.144   69
56498.251   -0.402860520268   -0.779097592840    0.3745    0.5320   0.670   53
56945.229    0.921786245316    3.659101207631    0.1802    0.2068   0.153  162
57051.250    2.637182703619    2.461701626544    3.2593    0.9666  -0.749   96
57920.301    1.065887136885    0.956001639452    0.1567    0.1495   0.077  168
58305.026   -0.335063918821   -0.916999186984    0.1701    0.1912   0.001  136
