MJD,R.A. (mas),Dec. (mas),Err. R.A. (mas),Err. Dec. (mas),Corr.,Del.,RAcosDEC,BY,MJDtrunc,MJDReal
45754.258,-1.9096251867449998,-1.887001224077,1.2912,0.7417,-0.084,40.0,0.5938205962128998,1984.147297326748,45754.0,45754
45759.251,-1.55435928306,-2.305601981334,1.2032,1.1362,0.027999999999999997,19.0,1.042109256567825,1984.1609677077079,45759.0,45759
45764.244000000006,0.051039534973,1.460397601249,0.7069,0.6182,0.325,21.0,0.0056232607473341465,1984.174638088668,45764.0,45764
45769.259000000005,-5.738531827789,0.890999990588,2.5316,1.1073,-0.363,25.0,-3.6074399331280063,1984.1883687036318,45769.0,45769
45864.264,-2.97200423879,0.696600000083,0.6484,0.6307,0.547,27.0,-2.27961077149747,1984.44848377335,45864.0,45864
45874.253,1.019167077796,-0.458200798903,0.6684,0.6203,0.513,26.0,0.9140397885622465,1984.4758327489978,45874.0,45874
45879.25,-0.46637080780100004,-4.305599998133,0.6403,0.5886,0.502,27.0,0.1845253869715911,1984.489514081595,45879.0,45879
45884.25,0.35865502519299997,-0.5323031871280001,0.5786,0.5316,0.47600000000000003,29.0,0.30903167558307437,1984.5032036279197,45884.0,45884
45889.258,1.268335788516,1.371697175045,0.6503,0.6288,0.444,21.0,0.250859517650744,1984.5169150775187,45889.0,45889
45894.291,1.1425667829600001,-0.773503194296,0.6493,0.6033,0.565,28.0,0.8174694824790586,1984.5306949748492,45894.0,45894
45899.248,3.172593372968,1.336096801197,0.606,0.5605,0.556,29.0,0.7377889979622392,1984.5442667910759,45899.0,45899
45904.255,3.402869742042,4.34519998862,1.7515,1.559,0.311,7.0,-1.2216071893151867,1984.5579755027654,45904.0,45904
45909.252,1.3737427776109998,-0.642502806159,2.2351,1.7396,0.263,6.0,1.0998165209391013,1984.5716568353625,45909.0,45909
45939.25,0.7731169054279999,0.804599983439,0.645,0.5921,0.5670000000000001,24.0,0.5360788940311326,1984.653788637493,45939.0,45939
45944.254,0.599876675131,-0.165002398944,0.5796,0.5341,0.503,21.0,0.5917291269209612,1984.667489135455,45944.0,45944
45949.254,3.7360945736549995,1.3806971821849998,0.5757,0.5022,0.521,26.0,0.7059584370019967,1984.6811786817798,45949.0,45949
45954.251,-0.965337967146,-0.121600777447,0.4632,0.443,0.48700000000000004,29.0,-0.9582096522142383,1984.694860014377,45954.0,45954
45959.247,1.4249622376989999,-1.4056019836059999,1.1146,0.9677,0.276,28.0,0.2343265352110567,1984.7085386090646,45959.0,45959
45964.251,-3.343943612253,-1.529002793177,1.1113,1.0024,0.2,26.0,-0.13971453826715502,1984.7222391070266,45964.0,45964
45969.251,1.4257719416280001,0.797400008423,0.505,0.4919,0.33799999999999997,24.0,0.9960007527231991,1984.7359286533513,45969.0,45969
45974.277,-1.845601383246,-0.8479008215549999,0.5376,0.5277,0.282,23.0,-1.2209737666803204,1984.7496893853172,45974.0,45974
45979.263,2.8829108692439998,0.7626995738969999,0.5052,0.4958,0.5479999999999999,27.0,2.0842683846290924,1984.7633406009122,45979.0,45979
45984.280999999995,-2.562520573115,-0.7967015847040001,0.4921,0.4953,0.038,21.0,-1.7913788314619428,1984.7770794296039,45984.0,45984
45989.252,-2.436871067618,0.848199590564,0.3543,0.3579,0.026000000000000002,23.0,-1.6115873667750582,1984.79068957656,45989.0,45989
45994.245,-4.731630749933,-2.050102807516,0.4515,0.4277,0.499,29.0,2.1820573678856245,1984.80435995752,45994.0,45994
45999.253,0.627045653896,1.4136984191280002,0.4654,0.4454,0.568,53.0,0.09810286957566959,1984.8180714071189,45999.0,45999
46004.242,-0.08618503020099999,1.446998373922,0.4574,0.4553,0.534,25.0,-0.010642297765744062,1984.831730836442,46004.0,46004
46009.25,-1.930347012526,-1.0916028145399999,1.1431,0.8875,0.321,29.0,-0.8900128874430487,1984.845442286041,46009.0,46009
46014.254,-1.0597996344660001,-0.35530198943,0.5605,0.5629,0.452,23.0,-0.9936061150972825,1984.8591427840029,46014.0,46014
46019.25,-0.414012067448,0.468298782152,0.8147,0.6913,0.406,51.0,-0.3694384749755979,1984.8728213786906,46019.0,46019
46024.265,-0.925484104118,-0.670402818059,0.4468,0.445,0.414,27.0,-0.725182928750397,1984.8865519936544,46024.0,46024
