,MJD,Dec. (micas),Err. Dec. (micas)
255,48435.35,1017.799195324,879.1999999999999
256,48438.834,-32.399989891,444.90000000000003
257,48440.280999999995,340.700395896,498.5
258,48445.833,19.19879935,485.9
259,48447.085,2072.3003984810002,526.8000000000001
260,48449.265999999996,776.401202529,502.49999999999994
261,48452.834,2069.1000145230005,456.7
262,48454.175,2963.4011980309997,270.2
263,48456.334,-2744.701208712,738.6
264,48457.429000000004,-2920.100385495,549.6999999999999
265,48459.248,-250.700401239,466.5
266,48463.259000000005,-375.59879047,833.9
267,48467.251,-1684.799985924,494.40000000000003
268,48470.261,2087.7011991159998,776.6999999999999
269,48473.833,-432.29880475299996,568.6999999999999
270,48475.085,-2342.4011914129997,268.2
271,48475.254,-2984.198386002,515.9
272,48477.262,1176.001197223,595.9
273,48480.831,-113.79960653799999,563.2
274,48484.279,-871.199995345,452.0
275,48487.835999999996,-188.999996453,769.0
276,48489.166,-1361.498408414,872.3
277,48491.343,-61.80118816700001,522.4
278,48494.835,177.098399945,527.4
279,48495.422999999995,196.49879163800003,609.5
280,48497.253,1488.8016067969997,864.1999999999999
281,48498.359000000004,3759.0984021560002,535.0
282,48501.833,-97.89839339199999,560.6999999999999
283,48504.167,1314.399597163,282.1
284,48504.254,-716.500804288,851.3
285,48505.357,436.60079711599997,565.8
286,48509.247,-298.101588214,508.8
287,48512.272000000004,267.09839460200004,469.6
288,48515.835999999996,-916.4015978059999,546.2
289,48519.265999999996,-121.798788655,499.8
290,48522.835,-164.001599501,571.0
291,48524.255,-505.69918812500003,625.8000000000001
292,48525.245,-189.399600004,598.8
293,48526.28599999999,-204.800400638,574.0
294,48529.833,702.1008030959999,537.4
295,48532.247,1227.200408493,727.0
296,48533.332,-581.500799512,458.2
297,48536.831,-94.89960177699999,563.8
298,48540.257000000005,-225.10080839299997,462.1
299,48543.833,45.298804707,486.09999999999997
300,48547.332,941.0003912080001,559.3000000000001
301,48550.835,551.199610754,606.5
302,48554.334,-1870.8983930079999,1924.5
303,48557.833,244.101596536,472.3
304,48559.166,766.1988036030001,361.09999999999997
305,48559.25,918.399589978,581.4
306,48561.255,189.698394593,445.0
307,48564.835,-397.79998814999993,488.4
308,48568.253,-1380.898800107,453.90000000000003
309,48571.837,-404.09999826399996,1328.2
310,48573.17,911.401207304,355.6
311,48573.254,-29.599209483,498.2
312,48575.252,646.1999959130001,424.20000000000005
313,48578.835,-46.59839874,538.0
314,48580.240999999995,-224.398803539,418.1
315,48580.255999999994,-1690.0991965939997,879.7
316,48582.253,182.00161377999999,462.0
317,48585.833,71.30160781800001,443.90000000000003
318,48587.254,292.60081078099995,462.6
319,48592.835,653.299213127,1365.2
320,48594.325,424.400406018,789.6
321,48596.334,35.200795878,510.70000000000005
322,48599.833,952.401600784,987.6
323,48602.233,4586.399995787,286.0
324,48602.255,181.50120126800002,489.5
325,48603.277,1166.900406702,463.9
326,48606.831,137.19961486900002,384.29999999999995
327,48610.334,-540.29878811,569.9
328,48613.504,99.601197689,464.6
329,48617.252,179.20080779300002,465.8
330,48620.83900000001,-245.401190568,1255.1000000000001
331,48624.254,505.198801193,404.5
332,48627.837,143.301613775,764.9
333,48631.252,495.000008982,457.2
334,48634.831,-157.29840470200003,706.5
335,48635.134000000005,839.498403593,1305.0
336,48636.252,-397.900797111,426.0
337,48638.25,-314.79840174599997,477.2
338,48639.331,-1163.998791753,491.5
339,48641.833,-456.098391055,344.9
