%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47010.922    1.376286519572    0.540698391660    2.0015    4.2255  -0.409    7
47274.253   -0.656600905419    0.719200775734    0.9295    0.7651  -0.019    8
48754.257   -0.085157304725    0.568101597764    1.0213    1.1736  -0.103    6
49121.421    1.972474463814   -1.104998409573    1.2903    1.3621   0.239   10
49576.501    0.699494516188   -0.339501610824    0.4730    0.7379   0.210   55
49667.419    2.051898212641   -0.053100001196    0.5785    0.3717   0.119   20
49819.958    0.746238041346    0.303098397580    0.4114    0.3151  -0.551  244
51073.711    0.894480001220   -1.154098819711    1.8803    1.6478   0.086    3
51351.086   -0.848207721359   -0.733298401201    0.2661    0.3974   0.140  191
51774.246    3.060052611042    0.490600788794    0.9549    0.6307  -0.004    8
52212.082    0.330736443651   -1.826499604363    0.0823    0.3095  -0.374  150
53311.204    0.150757125812    0.782999981652    0.3896    0.3722  -0.068   16
53367.226   -0.085392980961    0.171500394686    0.2644    0.2574  -0.040   15
53654.206    0.538212929936    0.000000000000    0.2303    0.2527  -0.106   18
53732.205    0.280536923161    0.011901596508    0.2741    0.2345  -0.166   25
54032.207   -0.240077400989   -0.362199614301    0.3733    0.3813   0.592   54
54110.206   -0.059232650862    0.345499194054    0.0843    0.1108  -0.019   65
54125.251   -0.092857401437   -0.130100423235    0.0832    0.0903  -0.121  131
54557.207    0.000000000000    0.092599182722    0.1048    0.1180  -0.023   50
54627.207   -0.201818273904   -0.293198399959    0.2098    0.2090   0.083   38
54886.187   -0.192078114825    0.015199182712    0.4716    0.4651   0.467   38
54978.208    0.252334655144    0.253799976235    0.3127    0.2261  -0.257   72
55229.208    0.373709202624   -0.327398421973    0.1993    0.2015  -0.196   69
55327.208    0.259797146483   -0.037198813629    0.1994    0.2672   0.062   49
57291.501 -780.461577180492 -234.385200016618    3.6933    4.1026  -0.305   12
57317.207  -46.268996523142   31.478299186460   15.7079   15.0194   0.180   41
57464.250   28.528046524682   40.083001186986    1.5973    1.8135  -0.066    4
57499.251   -0.427834195368    5.495799578625    0.5328    0.6750   0.450   30
57520.250    3.934343389846   13.615498795616    1.6965    1.4049   0.026   16
57834.230  -26.110923561076  -30.458901602515    3.4700    1.9258   0.187    3
58551.686   -0.151305697350   -0.181299608926    0.2305    0.2887   0.152   79
