%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
45258.709   -4.994557517162    9.052502389295    3.5591    5.3411  -0.227   45
45259.983    0.275193316516   -0.789098399423    1.7043    1.6772  -0.240   21
45264.761   94.142792552819  -21.152699994786   14.5998   12.4076  -0.157    5
45266.021   16.680425671303  -16.067300398959    0.5557    0.5695  -0.315   37
45513.138    2.214451059536   -6.779397600098    1.2551    2.6642   0.086   44
45713.379  -58.663078866595 -147.469500009834  125.1696  173.9212   0.156   10
46193.204   -0.397623667038    0.721000782278    0.2290    0.3040  -0.433   84
47502.921    1.224098571424    1.499201991351    1.3503    1.7993  -0.198    3
47510.588  -54.837020015923   51.846001181843    4.5342    4.8411  -0.221   10
47572.918   -2.447744292598   -3.423898809274    3.3238    1.6205   0.230    6
47577.107   -2.611398094516   -3.899300415355    1.5065    2.4937   0.542    5
47587.904   -9.498150889477    0.248601600106    4.7647    1.8047   0.657    6
47610.794   13.282878429867   -4.070599217698    1.3768    1.5781   0.458    5
47620.338   -1.289581135305   -1.199998794732    1.5241    1.2058   0.430   18
47655.329   -1.627898217926    1.368900001353    0.9239    0.7588   0.249    9
47682.354   -8.147915307202  -10.608598799422    0.8989    0.7875   0.299   13
47705.314   15.246284744860    8.710401590406    1.6298    1.5915   0.105   13
47710.340    4.677695924726   -2.188497600741    1.4506    0.8885  -0.252    5
47717.290    8.360769310248    7.560399589579    0.2588    0.3668   0.191   24
47731.053   -0.153544737001   -2.287800003842    1.0076    1.4937  -0.025   13
47743.205    2.661382748278    5.068400406572    0.3607    0.4741  -0.019   21
47746.054  -20.161651812625   -4.902400814899    1.6762    1.0219  -0.233    8
47756.252    7.207771216350   -1.850598010833    1.3624    1.5338  -0.403    8
47763.158  -10.703489734131   -3.581398806318    1.7198    1.2583  -0.112   14
47770.336   12.827970010550   -7.991600418222    1.5409    0.9270  -0.140    5
47777.232    4.704316497460   -0.632897996411    1.4084    0.8205  -0.051    5
47780.311   -3.174023445181   -4.789299606500    0.3918    0.5062   0.338   13
47787.258   -5.315575938551   -3.512397617556    0.8788    0.8648   0.366    6
47797.258   -2.036641865951    0.000000000000    0.7880    1.1622  -0.203    6
47805.352   14.407118215127   -4.080999602252    1.6330    0.8780  -0.254    4
47811.360   -0.701456668489   -0.559198818451    0.8261    0.7949   0.418    4
47816.324  -10.612394831959    5.700902406147    1.0513    0.8789  -0.431    6
47852.239   -4.336456653566    1.637200787741    1.1220    1.1241  -0.292    3
47857.232    4.498765274559   -7.116400806240    0.9707    0.9082   0.014    4
47998.164    1.466152987696   -8.093998815184    0.8142    0.7120   0.133    4
48069.234   -0.039986110202    0.085399182126    0.7692    0.9128   0.350    3
48169.247    2.239049819286    1.997801987841    0.3562    0.6099  -0.077   10
48204.253    1.203653978154    0.481802399577    0.3967    0.6329  -0.239    8
48272.328    0.470185248412    2.254499997889    0.9448    1.1619   0.159    3
