%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
48194.245   -1.188198248969    3.110400001560    1.1082    2.4411   0.118   10
48195.337   -0.841862396051   -2.693498397122    1.4410    5.5349  -0.379   12
48754.257   -0.687145451240    1.903100397271    0.7273    3.3274  -0.321    9
49121.421    1.471625768289   -4.831099200686    0.8929    3.4103  -0.341   18
49694.334   -0.281541254807    0.903700800592    0.4467    0.9238   0.114    8
50239.250   -1.075320256382    2.448900001184    0.8925    1.7476  -0.776    3
50458.831   -0.103725720240   -0.068299196698    0.1458    0.2124  -0.159  138
51288.208    0.132200634556   -0.042098401565    0.4071    0.6836  -0.077   28
51841.083   -0.254666717264   -0.580500000069    0.0750    0.1216  -0.049  152
52067.334    0.369723798721    0.059900398242    0.7811    1.0647   0.163   18
52254.170   -0.699930727505   -0.864500400866    0.5319    0.7086   0.150   13
52404.270    0.219365081196   -0.136997996947    0.2632    0.5480   0.115   19
52408.203   -0.043582223320    0.478101603107    0.2170    0.4020  -0.150   38
52522.238    0.560321141245   -0.143398796837    1.1071    2.4881  -0.198   18
52711.248    0.000000000000    0.183401997589    0.0594    0.2311  -0.075  143
52773.234   -0.144546575191   -0.305798401001    3.3131    1.1965   0.452    9
52815.231   -1.385479369374    0.000000000000    1.2459    1.9358  -0.159   10
52850.229    0.873098678737    2.596701599344    1.3002    1.7688  -0.247   19
52878.229   -0.281251849212   -0.501497998329    1.3415    1.2245   0.022   10
52948.229    0.970287082820   -2.290500000868    1.6676    2.6005  -0.145   13
52982.081    1.413225542465   -1.445299201919    2.2256    1.9423   0.336   10
53151.228   -2.127684866878    1.240700400018    1.8563    1.9435  -0.330    6
53165.232    1.544118723699   -2.531098799352    1.3260    1.9813  -0.049   12
53171.203   -0.354177154087    0.391899600771    0.2312    0.3531   0.096   24
53467.246   -0.341538290001    0.727902001074    0.1330    0.2533  -0.251   18
53642.248    1.400733140104    0.162201599352    0.1288    0.2646   0.057  136
53717.205    0.849564271207    0.484102799447    0.4666    0.3667  -0.253    7
53719.250    0.036462627664    0.657302398110    0.1564    0.1716   0.055   51
54053.205    0.397470021359   -0.359697602903    0.1945    0.2729  -0.067   39
54116.207    0.981761387907    0.338302800174    0.3306    0.2581   0.331   21
54390.207    0.098349445227    0.222800402128    0.1498    0.1828  -0.372   30
54508.208   -0.340377298405   -0.773499600371    0.2421    0.2254  -0.034   16
54516.207   -0.539548102084    0.160700400187    0.1429    0.1397  -0.054   35
54522.208    0.226481208544    0.357800400508    0.1061    0.1368  -0.112   58
55042.251    0.187114268640    0.156099600446    0.1137    0.2315  -0.023  221
55154.248   -0.267741349577    0.385502401201    0.0800    0.1595  -0.209  137
55369.208    0.374660837199    0.046202401904    0.2230    0.2510  -0.056   31
55376.207    0.551025925027   -0.168098399200    0.2857    0.2001   0.031   30
55442.269    0.098785263001   -0.004298398437    0.5501    0.4207  -0.078    5
55560.271   -0.139609586260   -2.858799597050    0.5580    2.4555  -0.763    6
55713.208   -0.325705757627    0.021301200803    0.2788    0.3502   0.249   12
55847.251    0.028039096542    0.096101999958    0.0707    0.1027  -0.049  255
56050.210    0.162272358242    0.435200400517    0.2371    0.5308   0.340    9
56142.271   -0.149340620251   -0.129499201762    0.2434    0.4957  -0.154   27
56196.229   -2.037033828498    0.504000003332    1.0533    0.2627  -0.145    3
56203.224    0.337037168391    0.166899601339    0.2647    0.3128   0.157    8
56281.230    0.057817946324   -1.985799601556    1.0635    1.8906   0.278   12
56533.253   -0.019465585838   -1.195999197279    0.8706    1.0991  -0.601   17
56547.249    0.731309954060   -1.532797197967    0.1852    0.4001  -0.205   95
