%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
50084.998    0.344936312719   -0.772300802510    0.5123    1.4625  -0.439   25
50155.831    0.044719725025   -0.238100400196    0.5078    0.8818   0.221   70
52429.205    0.146858836183    1.198601998453    0.1453    0.4057  -0.121   36
53185.207    0.353734184166   -0.247500004491    0.1599    0.6003   0.035   30
53712.248   -0.496559170115    0.000000000000    0.6859    0.6390   0.562    3
57322.208   -0.855922952842    0.954298796785    0.4062    0.7402  -0.113    9
57416.270   -6.298152752341   -1.805500804863    0.6104    0.2651  -0.017   14
57758.272 2107.615850622570 2362.374601199946    0.7080    0.4435  -0.479    8
57785.231    0.000000000000    2.291698798729    0.0812    0.1866  -0.066  146
58170.230   -1.305017073141    0.534499196903    0.1127    0.2837   0.304  127
58512.207   -0.350129776809    0.850301998412    0.6515    0.5934  -0.485    5
58597.208    0.043421359002    0.780699594571    0.2738    0.2690  -0.083   12
58603.209    0.006059238250   -0.747100800425    0.4401    1.0187  -0.556    6
