%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47681.247    0.649943330124    2.319897592429    0.4371    0.4676  -0.168   24
47914.255   -0.078476662511   -0.901101606132    0.6135    0.8028   0.180   18
48509.247    2.651090776812    2.846300398573    2.7773    3.0761   0.915   16
48810.082    0.249340328501    2.425798800232    0.9924    0.8662   0.233   29
49176.292    1.961957172996   -1.968202803937    0.6372    1.0999   0.181   30
49456.333    0.651808854674    0.331498796413    1.1050    0.8671   0.069   13
49547.332   -0.100686512660    0.146599199979    0.2210    0.2344   0.003   35
49576.501   -0.117949170947    0.301197607655    0.3869    0.5993   0.091   82
49819.958   -0.887989304006   -0.417600008973    0.4041    0.2760   0.263  225
50281.250   -0.653020414463    0.298997997561    0.1869    0.2431  -0.238   61
50305.832    0.232263535223    0.106397988020    0.4576    0.4412   0.088   63
50849.335    0.122336603600   -0.304300814946    0.5419    0.7408  -0.046   12
51246.084    0.128123625233    0.304898404124    0.0600    0.1701  -0.334  571
51555.250    0.114218121846    0.398300400661    0.3025    0.4204  -0.336   16
53220.202    0.097795293330    0.399099607762    0.2153    0.2664  -0.083   22
53297.204   -0.018848112276    0.167097593362    0.1847    0.2227  -0.054   31
53411.253    0.254379307124   -0.032799593441    0.1423    0.1353  -0.225  135
53654.206    0.256524902236   -0.219801597723    0.2258    0.2836  -0.265   23
53780.207    0.283399709504   -0.388000799489    0.1627    0.2054  -0.070   33
53978.249    0.101714626231   -0.689302797241    0.0966    0.2626  -0.096  144
54123.209    0.008306638249   -0.438299994698    0.0873    0.3689   0.345   64
54319.206   -0.082584151907    0.007700387528    0.1535    0.1663  -0.186   34
54559.230   -0.132414560847   -0.261702007265    0.1128    0.2109  -0.239  115
54655.207   -0.127095511662    0.654299986991    0.2679    0.2693  -0.216   28
54818.251    0.587701212329   -0.374601597741    0.2425    0.1664  -0.576  231
