%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
53222.919   -1.002360418094    1.160499587627    0.4691    0.8739   0.216    5
53382.230    0.241464251332    1.103101200783    0.4935    1.5011   0.690    3
53446.251    0.237626999285   -2.255900400883    1.2951    2.1572  -0.126    5
53520.200   -1.094308864420   -0.695800792982    1.3440    1.8488   0.606    3
53568.621   -1.495334956906    5.518601997778    0.5131    1.9755   0.002    9
54123.998    0.201288127709    0.616600786429    0.4302    1.5408  -0.506    5
54249.188    0.169850845705    0.503899207160    0.3259    0.6063  -0.359    5
54439.231    0.388939946112   -0.818899201249    0.3581    1.7163  -0.429    5
54552.195   -0.157847025628   -0.411400807820    0.3112    0.4672  -0.392    9
54670.230    0.192796264978    0.316699191671    0.2966    0.6235   0.373    5
55384.209   12.833815076922   -6.711699612083    3.9401    2.4701  -0.919    3
55447.208   -0.377100778627    0.781999207788    0.4006    0.4109  -0.130    9
55516.207   -0.723007243655    1.213901990127    0.7843    0.4921  -0.712    8
55761.206   -0.446264447790    1.005300009638    0.4736    0.4662   0.061    5
55862.270   -1.712956220675    1.801900810960    2.1527    1.7062  -0.875    5
55882.250   -0.687075993076   -0.338598013627    0.8178    1.5738   0.091   15
55959.248   -0.121998212747   -0.405698412465    0.5683    1.0865   0.352    4
56007.541   -0.490442476051    0.213299995266    1.3969    0.8130   0.182    8
56029.230    1.260810400130   -5.265197992799    0.8119    2.0654  -0.090    3
56058.033    0.199818285831    4.115300407648    0.4470    5.3244  -0.380    3
56075.540    1.453526344054   -0.070199999413    2.6902    3.3464  -0.878    7
56111.543   -0.061244080020    0.000000000000    0.5013    0.4668  -0.084   14
56260.258   -0.021395256339    1.870401587212    0.9420    2.0189  -0.203   12
56376.831    0.185774244125    5.267901596540    1.1557    5.8203  -0.720   15
56447.207    0.685361177551    0.811699200653    0.9146    0.6935  -0.491    6
56504.230   -0.114893865599    3.238401598082    0.3651    2.2433  -0.483    7
56562.272    2.410566191950   -4.981697998119    1.0803    1.4990  -0.766    4
56624.291   -0.123795354568    0.007001989388    0.4152    2.3530  -0.775   27
56636.206    0.192551291332    0.292500001819    0.4278    0.6835   0.184    5
56693.791   -0.746279962870   -0.500900389966    0.2001    0.2568   0.096   73
56735.791    0.225215446809    0.219002390622    0.2001    0.2270   0.202  113
56754.795    0.404293076185   -1.786399201364    0.3995    1.8838  -0.419   18
56803.794    0.356603090577   -0.414900011947    0.1497    0.2089  -0.176  126
56812.790   -0.242444145918   -0.351198008275    0.1609    0.1903   0.007   73
56833.229    0.346968685910   -0.259700408378    0.1518    0.1593   0.100  121
56838.792   -0.357747637755   -0.086698801738    0.1098    0.1364  -0.085  167
56890.792    1.052825546269   23.379699609904    0.1084    1.1478   0.026   57
57001.208   -0.617667461669    9.764100005327    0.1739    1.5574  -0.561   51
57113.230    0.089661245810   -2.694499190170    0.1997    1.7940  -0.598   58
57175.209   -3.396840564274   -1.037498407186    0.3073    0.2664   0.180   11
57239.208   -0.665682741978   -0.162298795203    0.1684    0.1944  -0.203   17
57247.229   -1.814621286563   19.043402400598    0.1480    1.4546   0.051   23
57307.795    2.483651444697   -1.526900410909    0.1607    0.5484   0.086    9
57309.208    1.469530174931    0.378302394211    0.2003    0.3205  -0.242   10
57332.270    2.450742315573    0.534002410291    0.2135    0.2324  -0.194   26
57336.208   -1.269059183054    4.334799604067    0.2096    0.4210  -0.235   11
