%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
50631.755    0.113230792763    0.000000000000    0.5252    0.5839   0.626   90
50800.340    0.060130284177    0.344199600022    0.1187    0.2547  -0.279   85
51114.251    0.262340667364    0.652201198648    0.4539    0.7757   0.438   12
51533.086   -0.183122172849   -1.082401202268    0.2174    0.3775   0.448   18
52048.082   -0.646808723381    1.291600797515    1.4158    2.3985  -0.049    3
52067.334   -1.250274595616   -0.450100795035    0.9305    0.8565   0.292    5
52254.170   -0.755303628683    0.983401200472    0.5824    0.4648  -0.072    7
52430.228    1.885744736012   -0.451598400275    0.9109    1.4362  -0.096   15
52522.238    1.769500191121    0.146599199979    0.7520    1.4130  -0.254   23
52676.249    1.349297713759    1.527098396537    1.1991    0.9660   0.517   19
52752.229   -0.152840040020    0.138600005073    1.0538    0.6341   0.439    9
52780.229   -0.655130103531   -8.019000004822    2.4335   10.4430   0.639    6
52815.231    1.244391751853   -0.135298799364    1.0142    1.0656  -0.146    8
52860.679   -0.512622912218   -5.923000803421    0.5545    2.6792   0.334    5
52878.229   -0.521953477353   -0.173800800951    2.8519    1.6285   0.853    3
52982.081   -1.268212411181    1.216900794532    2.4332    1.0790   0.638    5
53095.001   -1.535144317749   -2.354500799129    3.1958    2.5705   0.102    9
53151.228    8.377211734022   -4.413301199691    4.8323    3.0783  -0.967    3
53165.232    0.236508551715   -0.698500802798    0.7865    1.1282  -0.157   13
53192.001    0.225025320473   -2.135998795438    1.0654    1.7411   0.555   11
53396.230   -6.182917838572   -0.292500001819    2.3047    1.7983   0.019   11
53564.227   -6.174021254918   -6.251500795429    3.4138    5.7910   0.932    3
53752.166    1.057969956595    2.144098799306    1.9209    1.5983   0.590    5
53789.250    0.111653305687    0.840398394075    0.5179    0.7287   0.092   13
53837.251    0.993820198248    1.419598800112    0.8657    1.8808   0.301    7
53929.082   -1.303230431471   -4.896799202925    0.9183    2.9426  -0.149    9
54173.241   -0.096870452036    0.346500006287    0.6847    1.0442   0.175   14
54264.229   -0.579355891919    1.873000800856    1.2730    1.1285   0.322    9
54391.230    0.070177262603    1.173898802165    0.4852    0.7698   0.203   11
54523.231    0.227753190084    1.688000395461    0.6250    0.9986  -0.113    9
54621.228    1.358338957907    0.810900006343    0.7477    0.9746  -0.315    8
54741.249   -0.516497738131    0.383000396198    0.9431    1.4251   0.077   12
54971.232    0.731765401165   -0.715701597187    0.8338    1.0025  -0.036    6
55035.249    0.225600511741   -0.253400398265    0.6545    0.9825  -0.043   12
55174.227    0.438284965658    1.616799596604    0.7119    0.8909  -0.092   15
55545.241    0.000000000000    2.083899606475    0.6938    0.9636  -0.028    7
57974.230   82.069791011697 -187.475500800360    0.8127    1.1410   0.626   42
58142.227   -1.374699298633   -0.958701598108    0.3885    1.1576   0.420   38
58245.742    0.670343500193    6.240700794535    0.1183    0.2689  -0.197   86
58324.227    1.524811469042    3.786901199021    0.4142    1.0094   0.355   42
58445.165   -2.384449306834   -1.012701602576    0.3683    0.9604   0.333   36
58563.250   -1.831927814135    1.669201199661    0.3869    1.1036   0.470   56
58577.250   -1.781841057677   -2.904598801479    0.5171    1.3340   0.351   36
