%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
49826.960    0.762037787582   -0.689500782869    0.3354    0.5495  -0.038   76
50854.079   -0.875541320291    1.584702008017    0.4408    0.9347  -0.966 1036
51100.250    0.422663070828    0.182998806508    0.2202    0.2692  -0.134   18
51115.712    0.286030491927    0.032900402402    0.9393    0.6971   0.219    5
51338.251    0.000000000000   -0.319697983286    0.2926    0.3500  -0.051   15
51534.251    0.016176056018    0.277001998938    0.3605    0.7288   0.120    7
51569.250    0.728413482936    0.602499605407    0.3101    0.4147   0.189    8
57395.272    0.481888627362    3.831800412968    0.2979    0.2997   0.406   28
57737.270    0.974538866109   -0.980899201863    0.1802    0.2094  -0.154   39
57743.209   -0.849872676530   -0.008200800039    0.1258    0.1011  -0.004   51
58079.272   -1.637980198956    1.375801207359    0.1859    0.2786  -0.172   76
58121.207  -15.120970046928   46.351900800801    0.2361    0.2428  -0.283   12
58186.272   -0.234361123876   -1.616198400711    0.1563    0.1463  -0.053   26
58363.696   -0.368519878401    0.589399198248    0.1449    0.1884   0.035  126
58722.207   -0.155215067423    0.000000000000    0.1661    0.1535   0.071   67
59102.228    0.361632661419    0.227901614380    0.1755    0.2875  -0.013   54
59177.188   -0.386768667714    0.004201208981    0.5956    0.6932  -0.263   13
59228.250    0.438839126847    0.345801620938    0.2252    0.2417  -0.017   25
59319.248   -0.221659944264    0.242200806611    0.1924    0.2990  -0.075   52
59389.249   -0.348532032204   -0.641800801304    0.2922    0.4156   0.176   18
59452.251   -0.787239589868   -0.026701201250    0.2665    0.3573   0.001   46
59563.228   -3.656778746162   -8.749900797511    0.1971    0.1950   0.060   83
59613.249    0.273063004979    0.477601216176    0.2103    0.4168   0.466   24
59662.251    0.377208710895    0.845802020422    0.3668    0.4420   0.271   54
59711.249    0.567182322857   -0.048999601177    0.2509    0.3860   0.027   42
59802.251    0.057619687514   -0.139399199384    0.1804    0.1971  -0.027   41
59970.248   -0.154881368214   -0.197200796492    0.2726    0.4973  -0.038   30
60026.248   -0.246659593725   -0.090899985139    0.2252    0.3853   0.163   34
60047.250    0.377742944245   -0.532501198336    0.3083    0.4103  -0.213   36
60201.250    0.287769526013   -0.803401198368    0.3462    0.4997   0.353   24
