%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248  -36.031455866645 -311.286402002153    1.0197    3.5824   0.228   14
53103.271    0.104447057124   -0.592001999422    0.1898    0.3248  -0.268   14
53111.269    0.103852652577   -1.196200799214    0.2407    0.6202  -0.054   10
53118.268    0.059983968479   -0.060501600530    0.3480    0.7462  -0.377   14
53125.270    0.104597490330   -0.249300001443    0.2387    0.4582  -0.253   11
53132.271    0.623262073841   -1.660201202114    0.4357    1.2571  -0.863    9
53139.270    0.321552503781   -0.476100001023    0.2479    0.6529  -0.105   14
53145.271    0.072965397379    0.498398400950    0.9675    2.6604  -0.963    4
53152.251    6.737579818711    3.067801200274    0.5223    0.5060  -0.221    3
53153.270   -0.131756485499   -0.782100000762    0.3200    0.8090  -0.537   10
53158.208   -0.297831080389    1.551499197916    0.3190    1.8090   0.678    6
53160.275    0.048642444728   -1.257199199145    0.2129    0.6186  -0.438   15
53167.270    1.005099208948   -0.566802000534    0.6644    1.5015  -0.756    4
53171.203    0.446594660654    0.062099998743    0.7062    0.4699   0.200    4
53174.271   -0.645199876464    1.252997999757    0.4135    1.0125  -0.668   12
53180.247    4.045471547347    0.078001199100    0.4215    0.4659  -0.225    6
53181.270    0.141601209033    0.658997998570    0.2254    0.5381   0.019   11
53188.271    0.320062828275    3.323800799393    3.0586    2.4756   0.570    3
53193.206   -0.295145267513   -0.324900001303    0.2363    0.6510   0.009   37
53195.270   -0.186665826937   -0.366901200621    0.3242    0.6685  -0.341   12
53202.272   -0.112805158600    0.159400799760    0.2292    0.6570  -0.353   39
53209.273    0.266793595548   -1.866401999351    0.4523    1.1836  -0.190   15
53216.268    0.193079899842    0.269798398023    0.5306    1.2804   0.050   10
53223.270   -0.603418936557   -1.351400399585    0.3558    1.2110   0.032   11
53237.270   -0.471963113906    0.644399998961    0.5956    1.5988   0.745    7
53244.268   -0.174579668996   -0.070801201701    0.5033    0.5929   0.184   42
53251.270    0.099376297784    0.075797998278    0.3447    0.8479  -0.094   13
53258.272   -0.183385609514   -0.630601200058    0.2146    0.6505  -0.210   24
53265.270    0.058490628836   -1.770102000975    0.2846    0.7233  -0.011   14
53272.268    0.106835667727    0.022399199295    0.4267    1.6153  -0.659    8
53279.270    0.258736156921   -0.140601600762    0.2135    0.6698  -0.261   16
53285.253   -0.218448353094   -0.724499999194    0.1810    0.2925   0.175   42
53286.272    4.621136880624  -13.106401199536    1.7923    5.2878  -0.984    3
53292.247   -1.286070167203    0.655700399577    0.5668    1.5400  -0.851    4
53293.270   -0.041182871222   -1.218999602060    0.2263    0.5935  -0.159   10
53307.270   -0.055808072971   -1.182402000310    0.3106    0.8503  -0.546    8
53314.268   -0.678622511332    0.937997999273    0.3424    0.9993  -0.454    9
53321.270   -0.590290535026    1.032199199713    1.2865    1.6293  -0.081    3
53333.272    4.891214357733   -2.461899599382    2.5894    2.3694  -0.643    4
53342.272   -0.746366512602    2.942297998842    0.5799    1.1898  -0.835    6
53349.270    3.513825331373    2.477498398434    1.7280    2.1561  -0.138    6
53356.272    0.565666919527    0.323499598309    0.2720    0.6058  -0.546   16
53360.206    0.110266318355    1.427000399445    0.1492    0.6910   0.143   22
53362.269   -0.005969694437    1.663200000124    0.4752    0.9970  -0.567    7
53369.271   -0.595662160778    1.136300400972    0.3053    0.8806  -0.629    7
53377.266    0.059088697521    0.907898399660    0.2466    0.5883  -0.398   16
53384.268    0.512247253595   -1.064001600426    0.4352    1.0198  -0.627    9
53391.270   -0.558060373390    0.424198800886    0.3830    1.0943  -0.730   11
53398.272    0.671012708184   -1.007600399916    0.3244    0.7817  -0.458    9
53405.270    0.074902911927   -0.769201201933    0.3689    0.7887  -0.549   18
53416.206   -0.144290482483    1.138201200490    0.3415    0.3664  -0.133   16
53418.255   -2.210150000720    6.535900799776    0.6412    2.0054  -0.867    3
53419.270   -0.279477822174   -0.320799601283    0.2452    0.6077  -0.263   22
53426.268   -0.966605611177    2.843398799612    0.5917    1.3586  -0.832   12
53433.270    0.046554700537   -1.290099601547    0.2002    0.6002  -0.164   20
53440.268    0.234563637475    1.044399600403    0.4215    0.7905  -0.202   15
53447.270   -0.171596450284   -0.544201199304    0.2749    0.7444  -0.556    5
53451.208    0.008204411259    0.320698798717    0.2954    0.2293   0.058   15
53453.268    0.120712571148    0.555699598337    0.4110    2.5777  -0.512    4
53461.270   -0.196066375566   -0.923202001246    0.3751    0.6725  -0.257   12
53465.204   -0.065208621600   -1.013799601068    0.4849    0.4775   0.162   21
53468.268   -0.297086242636   -0.004899600725    0.6550    0.8068  -0.631   11
53475.270    0.061176441711    0.315500400205    0.2831    0.6103  -0.087   29
53481.249    0.741292292687    0.971200799782    0.4215    0.8678  -0.254    4
53482.269   -0.524039873400    0.254098799601    0.2415    0.5429  -0.260   20
53488.251   -0.308277129618   -0.067701601125    0.1912    0.2966  -0.032   84
53489.267    0.257540019551   -0.150598800630    0.3444    0.6858  -0.335   19
53496.269    0.975257657914    0.763099199830    1.1264    0.8928   0.558    4
