%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
48713.258   -0.378190101078    0.280497596350    0.4924    0.9421  -0.030   12
49022.175   -0.623849435643    1.126097998849    0.6498    1.2386  -0.604   18
49541.250   -0.488439951363    1.061297993488    0.3998    0.6450  -0.465   10
49576.417   -0.764167016983   -0.310802417403    0.5104    0.7916  -0.176   15
50305.832   -0.402287734698    0.761799583415    0.3858    0.4142  -0.089   81
50458.831   -0.034545849605    0.038199587493    0.1376    0.1479  -0.063  154
50849.335   -0.244912181446   -0.625402807941    0.3977    0.5608  -0.259   18
51841.083   -0.065465682865    0.039398398144    0.1183    0.0804  -0.483  223
52444.228    1.311677811810  -24.463202407787    1.9333    1.9093  -0.094    7
52612.228   -1.015264212390    1.368900001353    1.6486    1.0540  -0.206    9
52711.248    0.014181726958   -0.020300407755    0.1047    0.1700   0.589  237
53256.204    0.060670171517    1.099897184531    0.1836    0.7873   0.246   48
53341.249   -0.014818912637    0.231199200584    0.0677    0.0982   0.050  202
53402.206   -0.192026351943    0.318200403626    0.1525    0.2741  -0.076   24
53503.201   -1.391430097989   -4.543002006585    0.4381    0.6409   0.115   36
53552.287   -3.865829150508    1.545800390090    0.4060    0.4018  -0.072   45
53561.356    1.917402184081    2.057198392436    0.3553    0.4621   0.072   44
53689.216   -0.391412158475    0.545399987573    0.2543    0.3714  -0.648   43
53753.204    0.096175617954    0.149299197005    0.2222    0.3801  -0.141   33
54046.207    0.001174586088    0.134297999921    0.1266    0.1469  -0.142   65
54116.207    0.885504814475   -0.190299616065    0.2751    0.1629   0.219   34
54125.251   -0.123469434869    0.000000000000    0.0732    0.0953  -0.164  134
54461.208   -0.048300216325   -0.260402413232    0.1076    0.1664   0.029   52
54601.248    0.347592678972   -0.061199992274    0.3498    0.1316   0.075  183
54803.228   -0.162813341364    0.643697984515    0.2578    0.4007  -0.282   19
54937.249    0.013754366720   -0.082000812540    0.2465    0.3368  -0.288   34
55042.251    0.167718820153   -0.130701593548    0.1743    0.1627  -0.072  320
55313.208   -0.089988131181    0.195497992195    0.1399    0.2112  -0.025   46
56904.665   -0.355054609833   -2.203700415748    0.4802    1.0532  -0.103    6
56905.662    1.210064405744   -4.491802795314    0.5426    1.2544   0.047    7
56906.659   -1.358163783556    3.927099592715    0.5036    1.1462   0.226    6
56907.656    0.754146161237   -6.828299999029    0.6123    1.3458   0.261    7
56910.969    1.167416894056    1.748700000803    0.5663    1.0962  -0.001    5
56911.645    0.681748311292   -2.956701609946    0.5738    1.0669   0.062    6
56912.642    3.272794599039    0.913798803026    0.5409    1.2096  -0.093    7
56913.639    1.913991156991    8.970800396924    0.5216    1.2573   0.073    6
56914.636   -3.214575930510    3.731597993806    0.4925    1.0409  -0.042    7
56916.959    1.196629904635   -1.849402806897    0.8856    1.4999   0.161    3
56917.627   -1.597530682262   -2.023700400855    0.4780    1.0827   0.045    7
56918.625    1.603290881528   -2.793301206339    0.5500    1.2183  -0.137    6
56919.603    4.120552362260    5.809899607812    0.7845    1.9695  -0.549    3
56920.619   -6.871958015571   -7.706502009341    0.8140    1.3404   0.280    3
56921.616    3.550225941798   11.417997606600    1.0831    2.9279  -0.546    3
56924.790   -1.571516400521    5.795100003070    0.7779    2.8575  -0.391    5
56939.250    7.611602584239   -2.630199597320    0.8942    2.0358  -0.782    8
56941.496    0.416044646961   12.071797206659    2.0359    4.2769  -0.843    7
56942.501    5.163645173700  -21.617402396146    2.1139    3.9647  -0.714    7
56945.792    3.226306154480    4.330400383878    0.8526    1.9366  -0.732    8
58618.228   10.541282695586 -114.065099995742  123.0396  142.0976  -0.389    3
59271.737    1.342597645070   -0.357400816142    0.7075    0.2498   0.594   21
59600.250   -0.010555710613   -0.087501615553    0.0268    0.0371  -0.093  171
59656.250    0.000000000000   -0.283802395984    0.0442    0.0598  -0.506  109
59719.248    0.124109166090   -0.324399604779    0.0777    0.2478  -0.370   89
