%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248   -5.120965711474 -174.725999991665    0.6536    2.0286  -0.010   15
52572.237    0.041000103489   -0.320000397380    0.2401    0.3202  -0.048   23
52573.242    0.003919317042    0.197798411250    0.3626    0.3030   0.200   22
52574.242   -0.847593450851   -0.160801189963    0.2103    0.2290   0.189   27
52575.236   -0.236913074422    0.283399211298    0.2696    0.4099   0.581   18
52576.244    0.226696504970   -0.121600790237    0.1952    0.2201   0.013   24
52577.245   -0.137556191967   -0.002098801133    0.2079    0.2308  -0.038   26
52578.242   -0.472704380362   -0.244198798782    0.2288    0.2074   0.011   25
52583.206   -0.393780445904   -0.340300792345    0.1585    0.3829  -0.064   32
52590.204   -0.305761710476    0.662799607198    0.2083    0.3344  -0.022   13
52597.206   -0.500552912927    0.654598807159    0.1956    0.3296   0.160   33
52604.204   -0.059192950844   -0.146599199979    0.1893    0.3569   0.077    9
52611.228    0.315276124639    0.186699602978    0.1901    0.3235   0.108   34
52618.204   -0.286030726862   -0.149500789348    0.1276    0.2472   0.074   30
52625.202   -0.354597202634    0.037198800840    0.1476    0.2917   0.106   27
52639.202   -0.821145601634   -0.329698789869    0.4169    0.2888   0.177   11
52646.204   -0.366072993479    0.154299600297    0.1065    0.1948   0.103   31
52653.202   -0.343262301022    0.270500409272    0.5542    0.3628   0.458   10
52661.205   -0.057654814584    0.984898805712    0.2255    0.3218   0.029    8
52667.206   -0.120485113095   -0.191599197308    0.1553    0.2404   0.131   17
52674.208   -0.125102958197    0.654400808742    0.1892    0.3081  -0.229   12
52681.206   -0.521822032801   -0.284799588712    0.2208    0.3326  -0.002    5
52689.205   -0.100334325380   -0.441298799103    0.1717    0.2141   0.277   16
52695.206   -0.229215520478   -0.121499994066    0.2274    0.3143   0.276    9
52702.204   -0.040160495288   -0.065800792015    0.1161    0.2122  -0.011   17
52709.206   -0.264200722746   -0.254901597430    0.1275    0.2335  -0.108   15
52716.204   -0.184715713140    0.154800000018    0.1568    0.2517  -0.218   13
52723.202   -0.181078556380    0.279601199793    0.2681    0.2724  -0.025   12
52724.229   -0.177018159196    0.476499607771    3.9100    3.8755   0.986   76
52730.204   -0.055555794083   -0.061199992274    0.1677    0.2466   0.198   18
52737.202   -0.069127360013   -0.368899189596    0.1605    0.2742   0.273   14
52744.204    0.026169125258    0.189899999725    0.1403    0.2007  -0.117   17
52751.202    0.296663473184   -0.373701594469    0.1347    0.2579  -0.144   18
52758.204   -0.027986176384   -0.489599989351    0.3052    0.2434  -0.150   17
52765.202   -0.124263349996    0.041299200859    0.3583    0.4298   0.347    7
52766.225    1.263203900870   -1.813100389825    0.3081    0.4157  -0.308   68
52772.204    0.138677769543   -0.355399191676    0.1178    0.2196   0.098   14
52779.206   -0.109428935443   -0.160199994070    0.2358    0.2803   0.259   11
52780.587  -31.515866730792   12.941200802175    1.6738    1.2406   0.093   22
52787.205   -0.068989716195   -0.469299594386    0.1805    0.1986   0.086   18
52793.206   -0.177159239337    0.109299602968    0.1053    0.1947  -0.015   38
52800.204    0.146372078071    0.208299604765    0.2394    0.3986  -0.026   12
52803.269   -2.633600072863    0.129499201762    3.4586    1.3285  -0.087    7
52807.206   -0.280993077660   -0.573199190512    0.2760    0.2403   0.058   12
52807.586   -4.566818381146    3.102901206375    3.2331    2.3460   0.003   11
52814.204   -0.239431899023   -0.219398400247    0.2731    0.3316  -0.353    9
52817.269   -0.332767198518    0.122601602470    0.2698    0.4264  -0.134   39
52821.206    0.006857945744    0.115300805703    0.1606    0.2611  -0.021   19
52828.204   -0.197031303093   -0.248299198802    0.2605    0.2724  -0.014   16
52831.269    0.208644737756   -0.358099188702    0.3213    0.4136  -0.104   23
52835.203   -0.016093826854    0.863499607817    0.1607    0.2585   0.004   16
52836.583   -5.268738281986   17.771400005984    1.6438    1.2875  -0.186   74
52842.204   -0.057933538543   -0.328201197419    0.2967    0.2805  -0.070   14
52845.269    0.460251146591   -0.195501598910    0.3070    0.3470  -0.213   25
52849.206   -1.485003836779   -0.702799201235    0.6607    0.6238   0.467    4
52856.208   -0.044778531297    0.239698808002    0.3905    0.2938   0.603   14
52859.269    0.198989243453   -0.113799593748    0.3153    0.4842  -0.159   30
52863.206    0.001820296542   -0.544899600641    0.3052    0.4050   0.177   18
52866.271   -0.813310212965    1.281999607272    0.3788    0.4981   0.011   35
52870.204    0.432963689173   -0.277199997356    0.2504    0.3159   0.144   15
52873.269    0.083961774567   -0.504201595675    0.3289    0.3859  -0.063   14
52885.205   -0.017353239155   -0.139201200966    0.1691    0.2447   0.058   14
52887.269   -0.251744052653   -0.160599597621    0.2151    0.2538   0.343   45
52891.203   -0.718433531794   -0.070999193724    0.2048    0.2851  -0.281   18
52892.583   39.754189445913  135.910900799274    4.7722    4.1026  -0.134   13
52898.205    0.082003643300   -0.312699600613    0.2353    0.2172  -0.007   13
52901.273    0.246706403451   -0.128199594940    0.2529    0.2811   0.014   17
52905.206   -0.105230894441    0.014101206602    0.2102    0.2813  -0.050   14
52906.225    0.444016430503    0.757000810836    0.4787    0.7491   0.052   30
52912.205   -0.186955813782   -0.137699989011    0.1648    0.2576   0.067   16
52914.586  -11.419490896527   -4.579099199020    1.2513    1.1747   0.058   38
52915.269   -0.239431899023    0.001000799443    0.1653    0.2710  -0.069   23
52919.203    0.225017288570    0.278701209311    0.2086    0.2421   0.333    9
52921.241   -0.001820296542    0.021600001787    0.1937    0.2587  -0.101   36
52926.205    0.020009707574    0.077400000009    0.1512    0.2099   0.174   17
52929.269   -0.124824234237   -0.730000789417    0.2015    0.4366  -0.165   26
52933.203    0.323252593449   -0.001000799443    0.1716    0.1960   0.174   20
52934.240   -0.455633301489    0.209001609619    0.4359    0.5588  -0.360   18
52940.205   -0.506567814147    0.133599601781    0.2546    0.3489   0.060   16
52943.269   -0.483058593631    0.739000809347    0.3653    0.3634   0.138   21
52947.203   -0.461510749798   -0.280400394104    0.6167    0.4719   0.319    9
52954.227    0.542953508857    0.456098403845    0.3663    0.3016  -0.089   16
52955.582  -15.911862108176  -10.733299190235    1.1500    1.0897   0.035   48
52957.269   -0.096136093472   -0.207201590285    0.2301    0.3160  -0.310   45
52961.203   -0.018192847355    0.111398404101    0.1740    0.2408   0.239   19
52968.205    0.034844122127    0.575398800606    0.1846    0.2341   0.266   18
52969.268   -0.629853912125    0.134398808882    0.2534    0.2948   0.079   23
52975.203   -0.068009027854   -0.477100790874    0.1916    0.2230   0.110   22
52983.227   -0.082843442407   -0.413600392335    0.1256    0.2005  -0.120   15
52985.266    0.199828851653   -0.050698798759    0.2268    0.2815   0.329   19
52989.229   -0.143295805551   -0.263498394304    0.2521    0.2631   0.235   13
52990.229   -0.319333276406   -0.393501589713    0.2816    0.6685  -0.077  137
52991.252   -0.111947760044   -0.269200789660    0.0492    0.0722   0.089  288
52996.205   -0.146372078071   -0.216899995564    0.1662    0.2160   0.306   13
53003.203    0.077103637916    0.519098402663    0.1561    0.2020   0.035   11
53010.205   -0.066749615553    0.283500007470    0.1546    0.2051   0.138   15
53017.203   -0.153928742780    0.216201610215    0.1328    0.1994   0.199   20
53025.206   -0.146513158212    0.806500798944    0.1001    0.3077   0.026   31
53031.203   -0.090258836069    0.344699999744    0.0786    0.2259   0.079   45
53038.205   -0.188772864908   -0.121100390515    0.2201    0.4753   0.140   28
53045.207   -0.405115347515    0.045000010118    0.1975    0.2851   0.204   17
53052.205   -0.114466775551   -0.114199197299    0.0763    0.2258  -0.183   43
53053.228   33.741412827439    0.403898405921    4.6880    0.4426   0.688    5
53059.203   -0.305479550194    0.121600803027    0.1167    0.2753  -0.053   21
53065.873    1.083666917073    0.340200008964    0.9653    1.6729   0.286   16
53066.585    3.094969551613   11.831601605650    1.7373    1.5055   0.118   23
53073.203   -0.492156640017    0.210700807202    0.4166    0.2605   0.356   15
53074.237   -0.651821560059    0.133999205332    0.6277    0.7952   0.150   14
53080.205    0.574859002283   -0.041799600581    1.2577    0.3964   0.345    4
53087.207    0.581713511704    0.308098800872    0.5417    0.3183   0.351   14
53094.209   -0.102013541781   -0.641498400000    0.1310    0.2774  -0.323   14
53101.583   -3.647995113459   -7.703099994671    1.1271    1.0329   0.083   31
53102.230    0.537496055555   -0.745700397431    0.8368    0.5892  -0.174   68
53109.246    0.128182667039   -0.273398391926    0.2251    0.3101   0.078   53
53122.205   -0.207385516363    0.824500800434    0.2180    0.3902   0.107   12
53129.207   -0.140635900809    0.235000806015    0.2795    0.1886  -0.074    5
53131.252    0.087179127227   -0.418201192076    0.0769    0.1035  -0.196  244
53136.227   -0.122584133596   -0.154000792918    0.2732    0.1763  -0.083    9
53137.224   -0.056533046102   -0.269999996760    0.7298    0.3580  -0.068   20
53138.247   -5.810428942220    6.391198802191    0.2234    0.2266   0.208   11
53143.207   -0.205286304955    0.200800809580    1.4065    0.3102   0.767    4
53145.581  -45.826159206137  -35.340001197426    2.9428    3.5878  -0.114   28
53150.205   -0.114187860685    0.107398800253    0.2194    0.3290   0.077   12
53158.208   -0.288408471322    0.312998407992    0.1708    0.4679   0.259   15
53164.205    0.037504026869   -1.141300801066    0.1385    0.4355   0.151   26
53172.237    0.502510853287   -0.986000401326    0.6678    1.3265  -0.463    5
53185.207    0.078923934458   -0.609199193491    0.1682    0.4697   0.130   67
53193.206   -0.369851421287   -0.239698795212    0.2370    0.4179  -0.311   33
53199.225    0.037362946728   -0.351201589410    0.2123    0.2778   0.142   27
53200.230    0.221517775627   -0.132199198788    0.4486    0.5848   0.345   51
53201.256   -0.212842969665   -0.161798395482    0.1125    0.1645  -0.016  128
53206.205    0.257063862137    0.235800000326    0.2342    0.2592   0.219   15
53207.228    0.182895416599   -1.415098796542    0.4571    0.8815  -0.139   24
53213.207   -0.207805320463    0.253400411054    0.2737    0.3032   0.258   16
53220.202   -0.205565219821    0.765698403882    0.2091    0.3195   0.248   14
53227.225   -0.184994437099   -0.375699599431    0.2377    0.2522   0.294   12
53229.285   -1.818331919538 -143.144499594428    0.8748    2.6025   0.234   12
53234.205    0.328290242651    0.682401604024    0.1989    0.3313   0.253   17
53235.228    0.702198624799   -0.173599195818    0.4113    0.6460  -0.017   50
53241.225    0.314577596579   -0.587800796836    0.2873    0.3241  -0.031   38
53248.205    0.357535831335    2.891998806831    0.2090    0.4683  -0.058   40
53254.995    0.624953906741   -0.003999591058    0.8371    0.9477  -0.099   90
53256.204    0.299044653967   -1.962100792241    0.2677    0.7518  -0.564   65
53262.224    0.335567992494    0.323600410468    0.2298    0.2825   0.211   25
53262.582   42.234139499954  -47.449699196989    3.1060    2.0762   0.117   27
53263.228    2.134867456478    1.398398401875    0.5505    0.9744   0.341   34
53264.247   -0.117966288494   -0.620798388695    0.3337    0.3821  -0.102   14
53269.204    0.146513158212    2.545801201848    0.3325    0.3091   0.321   10
