%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
50631.755   -0.340529180758   -0.473399994405    0.3859    0.8249   0.174   81
50687.836    0.336919368489    0.829400407554    0.2538    0.6016   0.070   81
54292.229   -0.339592209123    1.101301207029    0.2071    0.4950   0.050   57
54788.209   -4.082606112881   -4.483198797800    7.4499    8.2309   0.992    4
54872.209   49.468187265583  -33.817298401573   20.0551   12.0103  -0.977    4
54881.249   -9.553801270223    8.922600002848    6.8112    8.9134  -0.961    5
54886.187    1.235371017792   13.748000408498    0.8731    6.0027   0.048    3
54894.230    1.521620959337    2.080400402349    1.0994    0.9433  -0.023    5
54943.228   -0.331169222631   -0.513399601232    0.3555    0.4112   0.622  149
54963.208    5.046304603672    0.650901604615    5.7802    0.5383   0.797    8
55005.208   -0.093721331040    0.043599607125    8.5859    0.4400   0.630    5
55075.208   -0.943104722466   -0.273999600608    0.5277    0.4633   0.346    8
55112.251   -0.046257434171    0.717102000181    0.2225    0.4184   0.156   49
55168.252    0.384649655677   -0.037900792904    0.1362    0.3842  -0.353  174
55236.206    0.162979166247    5.473101600728    0.7417    2.3325  -0.498   12
55250.206   11.734154236891    2.017602008664   11.9213    0.9370   0.837    3
55271.208   -0.072729664404    1.276599600430    0.5737    0.4591   0.054    7
55299.208    1.436990004163    1.264201198126    1.0758    7.5086  -0.558    4
55355.208   -0.336383487106    0.449899202692    0.4982    0.4083  -0.058    7
55371.250   -0.558589857919   -1.684097993859    0.2679    0.6330   0.294   80
55413.250    0.062169627462    1.194300006091    0.2467    0.6131  -0.039   75
55432.207    0.712077466850  -13.609997992603    1.1408    8.4833  -0.528    3
55470.269   -3.019038246882    5.080100397947    2.9579   54.2632  -0.465    3
55518.249    0.195467841459   -1.123498797995    0.1845    0.3137  -0.156  174
55547.271    0.464066346376    4.031600397525    0.8196    2.9375  -0.037   12
55560.271   -0.793230117746    0.250002003099    0.9535    6.3928  -0.536    6
55565.209    0.406844593069    0.549100809621    0.3285    0.4790   0.489    6
55589.272   -0.430906998650   -0.821998801825    2.0450    1.4504  -0.681    4
55617.272    1.408242740409    2.727298809191   10.5559    7.3794   0.987    3
55650.228   -0.494815778251    0.123800400331    0.4605    0.3596   0.359    9
55652.270   -0.067383891937    3.805700407611    2.3432    9.5120  -0.872    3
55657.230    0.149877796662   -0.187300798871    0.1742    0.5072  -0.030   65
55665.247   -6.587977066069   28.361800805499    2.1660    9.7259  -0.917    3
55666.270   -0.583191336824    1.331899198931    1.5176    3.9700  -0.648    4
55694.270    0.497893083475    3.527600406983    1.9221   12.7685   0.863    3
55727.208    0.686673807441    0.153100802436    0.9856    0.3155   0.170    9
55736.270    1.001802520731    2.318399999979    1.8710    2.2380  -0.824    4
55755.230   -0.000401090252    0.000000000000    0.3829    1.4590   0.166    7
55819.500    1.779524727379   -0.634298399405    0.9679    0.3150   0.360    5
55821.498    0.537335084104    1.184101201090    0.7405    0.6180   0.304    3
55822.498   -1.136833320588    9.299098809379    0.6853    3.6559  -0.629    3
55826.498   -0.098133323813    6.365901597860    0.5097    2.5242  -0.659    4
55833.500    0.100944238717   -0.045399600879    0.5153    0.3293   0.116    4
55847.251    0.079015600446    0.904899604848    0.1727    0.2603   0.447  102
55916.229   -0.340394480825   -0.596401200426    0.3335    0.5627   0.202   65
55917.270   -0.970379133203    1.097701206731    1.5777    6.5655  -0.766    7
