%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
57597.248    3.867600380436    4.347198006371    1.7090    0.9404   0.031   94
57610.229   23.140218593374    0.000000000000    2.1560    1.0284  -0.111    5
57970.691   -0.520513021760    2.213298012066    0.3273    0.8764  -0.075   30
58010.244   -3.105270436566    2.665799996748    0.2054    0.4915   0.107   22
58171.249   -1.028096270721    5.389300807224    0.3226    0.5355   0.209   19
58363.696    0.000000000000    1.394100016228    0.3739    1.1332  -0.176   30
58555.229    0.596067022007   -2.189102403349    0.1813    0.4887   0.016   44
58654.249    0.120802928411   -3.013401598650    0.6080    0.6720   0.684   10
58674.228   47.892733839641 -248.442901195745    0.3681    2.7985   0.392    3
58716.228  -10.036073917771  135.726598804808    0.9883    1.9834  -0.162    8
58745.251   22.626277364027 -115.890300006072    0.6126    1.9793   0.661    7
