%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47639.726    0.852891309176   -0.013697996337    1.0798    1.4791  -0.005   13
47685.554   -1.490235252639   -1.487498393260    0.9486    1.5755  -0.267   12
48161.906   -3.024269250329   -2.366297992751    2.6402    1.6283   0.055    4
48756.865   -0.073716088151   -0.871797597313    0.4488    2.1290   0.109    3
48766.383   -0.553825479197    0.527101204284    3.0029    1.8539   0.334    7
49534.544  112.587126829278 1564.262503208624    0.6362    1.4672   0.096    6
49629.086   -0.491949847134   -1.261497594385    0.7639    0.8192   0.480    3
49741.170   -1.482214329331    0.404301603396    0.8571    1.4847  -0.556    3
49897.336   -0.709660523401   -0.546497989262    0.2371    0.5363   0.569   92
49909.115   -0.545804555888   -0.830498396454    0.4910    1.2199  -0.326   44
49960.334   -0.703292695895   -2.012299191279    0.7365    1.7095   0.622   53
49960.334   -2.558927515115    0.753102003159    1.3768    0.9573  -0.774    5
49979.083   -1.125984559416    4.247200799057    0.8314    2.0138   0.095   28
49979.086    0.631871401727   -0.008197193324    0.5110    0.6967   0.121    7
49996.085   -1.658546285115    0.238100406591    1.1416    0.7931  -0.653    4
50003.083   -0.672229605858   -0.454399193472    0.5668    0.4996  -0.429   10
50029.253  -27.157947215954   64.977901203633    0.7814    1.6101  -0.874   14
50035.002    1.448477540294   -1.292198399483    2.5585    2.0455  -0.942    4
50112.085    0.050799152006   -0.573699590234    0.3342    0.3701  -0.211    9
50119.083    0.036413440768   -0.055299598500    3.0515    2.7026  -0.927    8
50122.662    0.217967390278    2.662102806994    0.6974    1.6700  -0.313   31
50149.333   -6.134984251512   -1.397199591224    2.8987    1.0091   0.729    3
50153.877   11.896046830268    4.543102802756    9.8681    5.0967   0.975    3
50210.001   -0.417341512790   -0.903499189064    1.0205    1.2116   0.617    3
50276.166   -0.670191525885    0.272700006576    0.2921    0.8000   0.065   27
50276.166    0.026100849899   -3.726496794343    0.2502    0.8301  -0.353   74
50322.085   -0.215419008707   -0.352799990821    0.3136    0.5560  -0.120   72
50324.332    0.647531303750   -0.605599193193    0.1729    0.5063  -0.510  129
50349.874   -0.158380386199    0.139802409649    1.1879    0.7931  -0.779    5
50355.334   -0.909801661523    1.241701205856    0.1213    0.3041  -0.124  127
50366.956   -0.764532795776    0.139802409649    1.6193    1.1199  -0.761    4
50387.334   -0.506717502965   -0.723797994340    0.1517    0.2898  -0.488  118
50395.322    0.053090819567   -0.969397196116    0.1131    0.2888  -0.001  167
50396.333   -0.392004552079    0.503600399782    0.1070    0.2833   0.006  186
50399.164   -0.400917721579    0.301600805130    0.1484    0.4556   0.021   39
50401.323    2.331032518138   28.266300007829    0.8562    5.7960   0.703   10
50402.323    0.021517427931    0.128800803623    0.3378    1.7989  -0.092   18
50403.335    0.014388750815   -0.405997194264    0.1364    0.3732  -0.113  122
50413.168   -1.405442597586    1.217800810593    0.5254    1.2272   0.208   11
50422.332   -1.814509599480    0.139500008345    0.1482    0.3316  -0.358   71
50457.272   -0.760713349841   -1.249797590219    0.5753    1.3740   0.161    7
50477.251   -0.705584363456   -0.124397989509    0.3865    0.9938   0.650    4
50490.082   -0.288242850666    0.997603203245    0.6643    1.8983   0.495    4
50491.251   -0.557388297966   -0.278499591388    0.4382    1.2218   0.687    5
50492.825   -1.508950711411   -3.802399189112    0.2780    0.4339   0.423    6
50500.083   -0.787703319509   -2.290798795457    2.3736    4.1268   0.960    3
50505.251   -1.047685136143   -0.323798396096    0.3452    0.7513   0.431    5
50519.251   -0.785286421365   -0.967298394983    0.5054    1.4498   0.588    7
50527.272    0.203324965030   -4.375997995965    0.8640    2.7482  -0.785    3
50533.251   -1.293531702705   -1.060199991798    0.3587    0.7586   0.307    8
50539.172    0.527852986303    7.766600406001    0.2841    0.6183   0.044   13
50547.251   -0.049653318226    0.583502411189    0.3478    1.0161   0.556    5
50575.251   -0.438730670561   -0.516599997979    0.4212    1.2859   0.329    6
50588.082   -1.138714135275    6.189602405016    0.1423    0.3547  -0.266   96
50589.251   -0.678594393787   -1.549198798045    0.4185    1.0977   0.642    3
50603.251   -0.291552081847   -0.359398795524    0.3511    0.9143   0.533    8
50617.251   -0.129352249713   -0.183999593162    0.3165    0.8538   0.465    6
50631.251   -0.516519792236    0.311000403030    0.3379    0.9059   0.305    9
50645.251   -0.292444328039    1.252101603200    0.3837    1.1412   0.513    5
50654.331    0.293846875830   13.846301999365    0.1438    0.5712  -0.144  103
50659.251   -0.785921953547   -2.455696791515    0.3374    0.9951   0.477    6
50673.251   -0.411865931476   -1.845597594752    0.3700    0.9870   0.598    7
50687.251   -0.406518620322   -0.308998791354    0.4236    1.1740   0.702    4
50700.090   -1.657910666088    2.800202399555    0.3089    0.5646  -0.338   89
50701.251   -0.450317452217    0.535100399190    0.4523    1.2741   0.653    5
50800.340   -0.357629191283   -0.525999595880    0.0825    0.2009  -0.193  161
50835.273    7.921871301874   -3.958797590542    3.0470    6.9589   0.249    5
50840.167   -0.980205478916   -5.539899598261    1.2930    6.6183   0.834    4
50895.999   -1.684011515986   -2.836497590408    1.8128    1.1228   0.646    3
50937.999   -3.319258920362   -2.013897592690   10.3331    2.1684   0.880    3
51051.249   36.109805671974  102.806002801969    9.5693   39.0162   0.798    3
51065.811   38.117202415031  372.286501210795   44.1486  166.4775   0.228    4
51072.250    1.692289153305    0.990403202650    1.7639    2.4432   0.910    6
51080.717  -35.218973143657 -140.108097590996   81.1352  181.2147   0.303    3
51094.271    0.126935264724    0.514501209636    0.5866    0.7254  -0.016    7
51123.353   -2.157627848942    4.548599999055    2.6899    6.5456   0.922    3
51130.457   -0.102487510627    0.483703202292    0.7139    0.7581   0.112    4
