%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47459.252    4.835559492060    4.660498802878    4.4311   16.4793   0.029    4
47463.179   -0.548636369966   -0.367300800974    2.8625    1.8985   0.265    5
47562.238   -0.603077963057   -4.546501197922    4.1707    2.1985   0.374    3
47649.252    3.753758874557  107.324100000739    1.0839    4.7107   0.232    8
47924.263   -1.336052701476   -2.009998797803    0.7866    3.0192   0.139   10
48874.421    4.862268862029    9.603799202296    4.2691   10.0801   0.962    3
49253.335   -1.436465839205    3.772198802920    0.7326    1.5456   0.022   14
49848.331  -17.896433441908   -1.791500400827    4.6724    2.0248  -0.276    4
50003.416    0.203019127665    0.419400002727    0.2393    0.4024  -0.124  101
50084.998   -0.360648126150   -1.257299998514    0.3472    0.5069  -0.069   34
50155.831   -0.257460621198   -1.173801599919    0.3285    0.7687   0.609   74
50303.333   -0.290447187411   -0.975898798572    0.5016    1.7775   0.477    4
50722.250    0.169160438264   -0.978199198443    0.4504    1.4503  -0.525   12
50778.253    0.002189268139   -0.091000800495    0.3374    0.7778  -0.221    6
50848.254    0.165657509684   -0.314499600762    0.3316    0.7711  -0.028    3
50904.254   -0.351890954036   -0.856800000548    0.5091    0.5579   0.126    9
51009.252   -0.134713264826   -0.740501995722    0.8519    1.1177  -0.370    4
51036.087    0.501638487663   -1.204901995777    0.0493    0.1239  -0.272  404
51135.252   -0.377286663564    0.098099998525    0.3677    0.8671  -0.486    5
51268.251    0.275122111323    0.037097998273    0.2402    0.6876  -0.049    9
51380.251   -0.421657523657   -0.026398799946    0.4145    0.5836  -0.066   11
51520.251   -0.288110773374   -0.147999596578    0.3271    0.5328   0.303    7
51786.252    1.226293907597    0.365000401104    0.5396    0.5949  -0.203    7
53276.205    0.019556466467   -0.110599197001    0.3309    0.2568   0.252   18
53341.249    0.000000000000    0.271000802599    0.0628    0.1236  -0.010  157
53523.418   -2.231472828286   -0.375501601013    0.2763    0.5024   0.146   31
53552.287   -0.149018972270   -0.083699997333    0.2077    0.4973  -0.140  116
53612.206    0.084797353912    0.183700798573    0.2091    0.6157  -0.097   25
53717.205   -0.883450833403    0.367599601958    1.3244    0.4271   0.302   11
53719.250    0.166386170598    0.303498001131    0.1197    0.1910  -0.275  116
54053.205   -0.138072432460    0.000000000000    0.2154    0.5078  -0.279    9
54087.561    1.608106253337   -5.702299196031    0.3578    0.3779  -0.002   32
54137.209    0.273223550914    0.511498798517    0.1042    0.2558  -0.007   17
54390.207    0.243887059179   -0.040798801137    0.1736    0.3556   0.008   20
54601.248    0.471720480912   -0.921599999515    0.1320    0.4899  -0.388  109
54732.209    0.368529491450    0.026200801528    0.2044    0.4327  -0.104   10
54853.249    0.048311542744    0.569401198192    0.0809    0.1930  -0.147  184
55089.208   -0.299057213626   -0.160599597621    0.3956    0.9277   0.625    5
55208.206    0.169013292365   -0.042199197736    0.2846    0.6480   0.119    6
56392.230    0.198934783626    0.298501198159    0.1843    0.2454   0.145   18
56470.251   -0.846380022709    2.068700398183    0.4134    0.8340  -0.628    7
56777.269    0.159671120725    1.223298000497    0.3434    1.3691   0.344    3
56904.248    0.362255879273    0.052599601474    0.1277    0.2369  -0.057   97
57107.251   -0.188131905205   -0.200199600897    0.1497    0.2107  -0.003   80
57135.251    0.266508600598    0.305398803846    0.1244    0.1893  -0.073   79
57203.209   -0.851196412615   -7.524399599390    0.4564    3.0353   0.334    5
57581.206    2.416392612198   -2.333699998047    0.7944    2.2344  -0.406    6
57633.269    2.185935553208   -4.804901999478    0.3311    0.5711  -0.232    9
57639.230   -0.720714737283   -2.069899196044    0.2055    0.2882  -0.180   17
57658.208   -1.578916907501   -3.220300800422    0.7574    0.8661   0.609    6
