   DATE        X           sigma      Y         sigma 
48382.8380      0.180      0.041      0.057      0.054 
48384.1700      0.122      0.055     -0.391      0.061 
48389.8330      0.275      0.039     -0.395      0.052 
48390.9140     -0.054      0.133     -0.121      0.128 
48396.8390      0.112      0.043     -0.010      0.052 
48398.2260      0.151      0.052     -0.212      0.048 
48403.8310     -0.130      0.046     -0.216      0.053 
48410.8330      0.065      0.048     -0.360      0.052 
48417.8290     -0.119      0.057     -0.350      0.057 
48419.1700     -0.144      0.068     -0.254      0.075 
48424.8300      0.055      0.054     -0.111      0.055 
48431.8290      0.692      0.063     -0.180      0.061 
48436.4130      0.032      0.052     -0.254      0.051 
48438.8330     -0.072      0.051     -0.142      0.041 
48445.8280      0.608      0.065      0.159      0.057 
48448.1570     -0.276      0.040     -0.225      0.042 
48452.8300      0.238      0.054      0.111      0.046 
48454.1770     -0.389      0.078      0.084      0.064 
48456.1610     -0.115      0.059      0.124      0.069 
48459.2530     -0.361      0.156     -0.175      0.149 
48467.2590      0.281      0.066     -0.066      0.052 
48472.4310      0.245      0.096      0.136      0.064 
48473.8360      0.254      0.058     -0.147      0.050 
48475.0910     -0.216      0.065     -0.321      0.054 
48480.8280     -0.007      0.091      0.101      0.089 
48487.8200      0.241      0.096      0.338      0.078 
48490.2580     -0.155      0.060     -0.076      0.056 
48494.3400     -0.227      0.050     -0.027      0.061 
48501.8520     -0.227      0.061     -0.135      0.082 
48504.1640     -0.526      0.060     -0.109      0.052 
48506.4200     -0.172      0.080      0.010      0.075 
48509.2520     -0.004      0.049      0.171      0.044 
48515.8370     -0.008      0.057     -0.109      0.064 
48522.8380     -0.413      0.050      0.193      0.060 
48525.2500     -0.028      0.123     -0.561      0.165 
48529.8330     -0.039      0.041     -0.258      0.050 
48536.8300     -0.165      0.048     -0.048      0.060 
48543.8290      0.021      0.042      0.089      0.051 
48544.9770     -0.086      0.046     -0.098      0.047 
48546.1950     -0.199      0.045     -0.085      0.039 
48548.4750     -0.072      0.043     -0.118      0.046 
48549.6850     -0.106      0.036     -0.135      0.033 
48550.8460     -0.300      0.060     -0.002      0.074 
48551.9620     -0.262      0.047     -0.025      0.049 
48557.8310      0.077      0.037      0.076      0.044 
48559.1680      0.150      0.052      0.108      0.053 
48562.4030     -0.158      0.045     -0.021      0.051 
48564.8300     -0.197      0.043      0.099      0.049 
48569.3460      0.379      0.076      0.096      0.077 
48573.1720      0.055      0.037      0.018      0.048 
48576.3020      0.074      0.074      0.360      0.091 
48578.8250      0.287      0.055     -0.043      0.055 
48580.2460     -0.162      0.083      0.057      0.064 
48582.3790     -0.020      0.311     -0.175      0.320 
48585.8460      0.115      0.051      0.044      0.049 
48594.3260     -0.557      0.330     -0.819      0.269 
48595.2500      0.048      0.031      0.018      0.034 
48599.8350      0.169      0.079     -0.001      0.078 
48601.1600     -2.971      7.458     -8.575     10.775 
48602.2280      0.116      0.042     -0.275      0.048 
48605.2690      0.418      0.075      0.309      0.070 
48606.8240     -0.027      0.049      0.216      0.048 
48609.2490     -0.131      0.068      0.032      0.057 
48611.4130      0.030      0.071     -0.029      0.054 
48613.4960      0.366      0.073     -0.109      0.051 
48627.8340      0.277      0.060      0.139      0.054 
48629.3220      0.064      0.035     -0.049      0.039 
48634.8380      0.204      0.059     -0.032      0.048 
48639.3310     -0.116      0.052      0.161      0.063 
48641.8340      0.136      0.038     -0.035      0.029 
48643.3280      0.213      0.103      0.099      0.089 
48648.8390      0.083      0.033     -0.037      0.027 
48650.2570     -0.130      0.063      0.121      0.066 
48655.8500      0.180      0.049     -0.202      0.041 
48657.2470      0.119      0.029      0.080      0.031 
48662.8370      0.284      0.041     -0.093      0.035 
48664.2110     -0.308      0.180      0.403      0.239 
48667.3360      0.124      0.045     -0.230      0.061 
48669.8590     -0.058      0.139     -0.112      0.124 
48674.3280      0.239      0.060      0.294      0.062 
48676.8330      0.261      0.036      0.024      0.032 
48678.1690      0.063      0.053     -0.118      0.053 
48683.8350      0.265      0.057     -0.106      0.056 
48685.3300      0.094      0.032      0.060      0.028 
48688.3370      0.050      0.082     -0.463      0.095 
48690.8190      0.266      0.053      0.173      0.039 
48692.1580      0.115      0.078     -0.054      0.075 
48695.3260      0.178      0.070      0.053      0.072 
48702.3250      0.495      0.097      0.150      0.105 
48718.8160      0.292      0.102     -0.028      0.116 
48727.1720      0.081      0.079     -0.495      0.099 
48728.2430      0.153      0.079      0.182      0.104 
48732.8400      0.266      0.035     -0.086      0.050 
48734.3390     -0.222      0.054     -0.090      0.043 
48739.8510      0.177      0.047     -0.220      0.066 
48741.1680     -0.139      0.193     -0.347      0.189 
48748.1720     -0.141      0.062     -0.030      0.073 
48755.3220      0.178      0.048     -0.056      0.044 
48760.8250      0.230      0.039     -0.440      0.054 
48763.1440     -0.019      0.159      0.066      0.114 
48764.0530     -0.492      0.173      0.382      0.178 
48765.3300      0.116      0.075     -0.093      0.054 
48767.8380      0.255      0.067      0.146      0.073 
48781.8280      0.545      0.077     -0.042      0.081 
48790.1310     -0.421      0.123     -0.228      0.094 
48795.8610      0.393      0.080      0.089      0.089 
48797.1770     -0.113      0.046      0.039      0.051 
48802.8270      0.589      0.055     -0.173      0.051 
48804.4170      0.169      0.064     -0.254      0.059 
48809.8340      0.390      0.070     -0.217      0.059 
48812.0690     -0.058      0.048     -0.075      0.072 
48816.8340      0.074      0.041     -0.066      0.034 
48819.1800     -0.072      0.113     -0.150      0.093 
48821.3330     -0.135      0.059     -0.189      0.072 
48825.3290     -0.044      0.042     -0.272      0.039 
48826.3340      0.097      0.056     -0.202      0.054 
48828.6610     -0.014      0.075     -0.283      0.085 
48829.7480      0.047      0.077     -0.062      0.067 
48830.8270      0.021      0.078     -0.379      0.062 
48831.9250      0.162      0.050     -0.586      0.052 
48833.1340      0.168      0.059     -0.433      0.061 
48834.2490     -0.283      0.078     -0.416      0.100 
48835.4110     -0.227      0.039      0.034      0.041 
48836.6780     -0.297      0.044     -0.194      0.048 
48837.8310     -0.012      0.067     -0.016      0.052 
48838.9700     -0.167      0.040     -0.319      0.038 
48840.1190     -0.169      0.040     -0.323      0.048 
48841.2590      2.556      2.847     -1.408      3.545 
48842.4100     -0.133      0.035     -0.280      0.036 
48843.6790     -0.392      0.032     -0.172      0.036 
48844.8270      0.252      0.062     -0.002      0.050 
48846.1390     -0.200      0.049     -0.188      0.062 
48847.2550     -0.240      0.079     -0.238      0.067 
48851.8400     -0.355      0.060     -0.088      0.060 
48853.1590     -0.258      0.046     -0.270      0.040 
48858.8330     -0.143      0.144     -0.294      0.134 
48861.0100     -0.004      0.087     -0.007      0.090 
48863.3240     -0.506      0.090      0.814      0.088 
48864.4170     -0.260      0.068     -0.100      0.079 
48865.8330     -0.167      0.043     -0.183      0.042 
48867.4200     -0.207      0.052     -0.033      0.052 
48872.8370      0.051      0.049     -0.581      0.055 
48882.9250     -0.300      0.047     -0.269      0.053 
48888.1680     -0.145      0.055     -0.271      0.051 
48889.9170     -1.053      0.579      0.511      0.635 
48893.8300     -0.369      0.051     -0.009      0.060 
48907.8350     -0.494      0.062     -0.095      0.072 
48909.2510     -0.205      0.032     -0.204      0.028 
48910.9190     -0.235      0.063     -0.100      0.067 
48916.2540     -0.233      0.046     -0.338      0.051 
48917.9160      0.008      0.061     -0.177      0.068 
48921.8330     -0.034      0.049      0.281      0.054 
48924.9220     -0.167      0.052     -0.089      0.055 
48928.8270      0.003      0.039     -0.201      0.045 
48931.2490     -0.217      0.100     -0.728      0.110 
48932.3330     -0.211      0.040     -0.260      0.043 
48937.2630      0.051      0.066      0.246      0.063 
48942.8330     -0.177      0.047      0.090      0.045 
48947.3200     -0.254      0.036     -0.311      0.043 
48956.8360     -0.046      0.039      0.033      0.040 
48959.0880     -0.117      0.050     -0.326      0.055 
48962.3520     -0.224      0.075     -0.040      0.069 
48963.8340     -0.403      0.040     -0.169      0.042 
48970.8370     -0.247      0.043      0.025      0.038 
48986.2630     -0.158      0.030     -0.265      0.041 
48991.8400     -0.122      0.046     -0.262      0.041 
48993.0900     -0.259      0.030     -0.223      0.028 
48998.8440     -0.089      0.087      0.096      0.070 
49005.8310     -0.079      0.037      0.021      0.032 
49007.4120     -0.206      0.028     -0.058      0.024 
49012.8370     -0.169      0.042     -0.024      0.040 
49015.1960     -0.103      0.302     -0.553      0.360 
49019.8490     -0.051      0.048     -0.415      0.041 
49026.8320     -0.117      0.039     -0.089      0.034 
49028.0790     -0.276      0.108      0.296      0.108 
49029.1850     -0.735      0.170     -0.460      0.177 
49031.3270     -0.175      0.027     -0.143      0.023 
49033.8220     -0.096      0.033     -0.083      0.028 
49040.8300     -0.299      0.041      0.035      0.043 
49047.8350      0.122      0.035      0.216      0.041 
49050.0120     -0.214      0.042      0.227      0.041 
49054.8320     -0.162      0.049     -0.183      0.053 
49061.8310     -0.017      0.040     -0.156      0.044 
49063.0200      0.044      0.105      0.045      0.077 
49068.8370     -0.149      0.036      0.064      0.046 
49071.1500     -0.089      0.035     -0.035      0.035 
49075.8350      0.138      0.032      0.093      0.040 
49082.8370     -0.044      0.057      0.289      0.078 
49089.8350      0.060      0.045     -0.083      0.061 
49093.1610      0.094      0.101      0.011      0.092 
49096.8330      0.169      0.042     -0.319      0.056 
49103.8310      0.172      0.038     -0.353      0.055 
49106.1760      0.089      0.035      0.112      0.027 
49111.1050      0.097      0.114      0.085      0.100 
49112.2070      0.369      0.050      0.341      0.056 
49113.2530      0.154      0.059     -0.099      0.054 
49119.2380      0.060      0.086     -0.012      0.091 
49120.3230      0.160      0.026      0.148      0.031 
49126.2520      0.033      0.060     -0.226      0.055 
49129.1840      0.075      0.054     -0.210      0.076 
49132.1730      0.158      0.167     -0.184      0.147 
49133.2500      0.011      0.052     -0.064      0.044 
49134.3320      0.174      0.066     -0.175      0.083 
49140.2500      0.246      0.045     -0.305      0.043 
49146.1740     -1.032      0.360      0.317      0.264 
49147.2530      0.522      0.038     -0.155      0.037 
49147.8380      0.194      0.325      0.073      0.299 
49153.1680      0.231      0.029     -0.021      0.031 
49154.2440      0.148      0.054     -0.352      0.061 
49161.2500      0.126      0.048     -0.237      0.054 
49162.9790      0.331      0.057     -0.204      0.055 
49164.0510      0.356      0.033      0.025      0.032 
49167.1640     -0.042      0.091     -0.167      0.069 
49168.2590      0.018      0.096      0.002      0.123 
49175.2550      0.341      0.095     -0.037      0.087 
49181.0170      0.168      0.031     -0.269      0.037 
49182.2550      0.119      0.033     -0.217      0.037 
49183.3380     -0.067      0.065     -0.045      0.068 
49185.4390      0.222      0.048     -0.027      0.040 
49188.1580      0.218      0.056     -0.384      0.051 
49189.2540     -0.128      0.067     -0.085      0.074 
49190.3480     -0.060      0.061      0.003      0.049 
49196.2520      0.030      0.070     -0.111      0.075 
49197.3580      0.269      0.093     -0.464      0.093 
49198.3730      0.086      0.033     -0.331      0.031 
49202.1860     -0.063      0.047     -0.062      0.061 
49203.2530     -0.037      0.053     -0.254      0.049 
49209.0860      0.175      0.203     -0.081      0.150 
49210.2470     -0.113      0.057     -0.265      0.054 
49211.3380     -0.092      0.442      0.061      0.550 
49216.1760      0.213      0.039     -0.135      0.044 
49217.2550     -0.191      0.055     -0.591      0.057 
49219.4060      0.002      0.035     -0.222      0.033 
49223.1770      0.312      0.072      0.068      0.070 
49224.2580     -0.137      0.115     -0.162      0.101 
49225.3180      0.401      0.077     -0.450      0.070 
49230.1400      0.188      0.039     -0.468      0.049 
49231.2540      0.377      0.071     -0.030      0.063 
49237.1010      0.101      0.040     -0.094      0.028 
49238.2660     -0.047      0.103      0.089      0.096 
49245.2510      0.119      0.034     -0.109      0.033 
49247.4030      0.017      0.060     -0.112      0.055 
49252.2580      0.008      0.025     -0.086      0.025 
49259.2550      0.014      0.078     -0.038      0.076 
49260.3560     -0.127      0.074     -0.803      0.088 
49261.4230     -0.010      0.020     -0.118      0.023 
49266.2520      0.046      0.058     -0.401      0.060 
49267.3320     -0.268      0.058     -0.116      0.050 
49272.1680     -0.105      0.063     -0.179      0.066 
49273.2560     -6.311      1.429     -0.635      1.381 
49279.1590      0.050      0.027     -0.096      0.027 
49280.2500     -0.164      0.028     -0.380      0.030 
49281.3370     -0.089      0.040     -0.200      0.045 
49286.0730     -0.183      0.061     -0.178      0.055 
49287.2510      0.065      0.049     -0.321      0.046 
49293.0920     -0.185      0.030     -0.338      0.035 
49294.2550     -0.106      0.031     -0.248      0.035 
49301.2500     -0.314      0.024     -0.107      0.027 
49308.2540     -0.093      0.029     -0.134      0.035 
49309.3270     -0.022      0.049     -0.117      0.055 
49315.2560     -0.087      0.033     -0.200      0.038 
49321.1860     -0.095      0.026     -0.188      0.029 
49322.2490      0.038      0.026     -0.124      0.028 
49328.1630     -0.168      0.037     -0.176      0.033 
49329.2540     -0.244      0.030     -0.065      0.030 
49335.0990     -0.023      0.032     -0.093      0.038 
49336.2480      0.005      0.025     -0.424      0.026 
49342.0090      0.134      0.275     -0.441      0.295 
49343.2490     -0.122      0.022     -0.105      0.023 
49350.2630      0.026      0.037     -0.185      0.042 
49351.3230      0.012      0.023     -0.132      0.030 
49357.2600      0.027      0.031     -0.142      0.029 
49359.4240     -0.527      0.087     -0.293      0.094 
49363.1660     -0.339      0.042     -0.208      0.040 
49364.2530     -0.149      0.059     -0.088      0.046 
49365.2730     -0.202      0.028     -0.260      0.029 
49366.2670     -0.199      0.019      0.018      0.022 
49367.2770     -0.070      0.018     -0.058      0.021 
49368.2670     -0.104      0.019     -0.055      0.022 
49369.2770     -0.121      0.016     -0.047      0.019 
49370.2120     -0.119      0.026     -0.048      0.026 
49371.2390     -2.261      3.276     -6.681      3.493 
49372.2560     -0.186      0.012     -0.045      0.018 
49373.2610     -0.173      0.019     -0.020      0.024 
49374.2670     -0.237      0.012     -0.068      0.017 
49375.2440     -0.058      0.021     -0.081      0.026 
49376.2630     -0.138      0.014     -0.072      0.017 
49377.2590     -0.045      0.018     -0.136      0.022 
49378.2540     -0.135      0.023     -0.117      0.027 
49379.5410     -0.090      0.066     -0.046      0.064 
49385.2460     -0.333      0.025     -0.044      0.024 
49391.1670     -0.237      0.051     -0.053      0.065 
49392.2540     -0.132      0.032     -0.201      0.034 
49394.4120      0.362      0.139     -0.301      0.144 
49398.0870      0.467      0.249      0.368      0.243 
49399.2460     -0.309      0.037     -0.232      0.046 
49400.0650     -0.371      0.191      0.106      0.179 
49413.2650     -0.216      0.051      0.036      0.060 
49420.2440      0.020      0.035      0.022      0.034 
49426.1640     -0.156      0.037     -0.047      0.034 
49427.2430     -0.129      0.042      0.124      0.042 
49428.3090     -0.070      0.052      0.158      0.064 
49429.4140     -0.312      0.064      0.200      0.053 
49434.2470     -0.136      0.042     -0.037      0.036 
49435.3260     -0.197      0.022      0.076      0.017 
49436.4160     -0.308      0.046     -0.040      0.048 
49441.2410     -0.249      0.031      0.006      0.027 
49448.2610     -0.025      0.042      0.014      0.035 
49455.2440     -0.343      0.042      0.024      0.036 
49462.2450      0.019      0.027     -0.070      0.026 
49468.1700     -0.231      0.064      0.172      0.057 
49469.2480     -0.172      0.029     -0.068      0.029 
49471.4150     -0.117      0.016      0.122      0.018 
49476.2450     -0.146      0.028      0.082      0.030 
49482.1690     -0.090      0.022      0.161      0.028 
49483.2480     -0.069      0.044      0.090      0.038 
49484.3250     -0.038      0.014      0.070      0.015 
49485.4160     -0.018      0.065     -0.099      0.066 
49490.2460     -0.080      0.029      0.109      0.031 
49495.9880      0.034      0.047      0.185      0.055 
49497.2440     -0.092      0.028     -0.047      0.030 
49504.2460      0.012      0.023      0.181      0.028 
49511.2480     -0.068      0.038      0.048      0.041 
49518.2490      0.108      0.044     -0.292      0.049 
49524.1710      0.043      0.022      0.046      0.023 
49525.2480     -0.024      0.034      0.038      0.038 
49528.7420     -0.463      0.092      0.224      0.084 
49530.9300      0.227      0.088      0.078      0.065 
49532.2410     -0.261      0.031      0.168      0.036 
49534.9510      0.104      0.621     -0.278      0.682 
49539.2480     -0.037      0.025      0.091      0.028 
49540.9910      0.055      0.038     -0.073      0.060 
49541.7440      0.219      0.015      0.050      0.021 
49545.1530      0.056      0.049      0.047      0.042 
49546.2480     -0.090      0.029      0.114      0.031 
49547.3310     -0.088      0.017     -0.168      0.020 
49548.4200     -0.431      0.095     -0.347      0.084 
49552.1570     -0.106      0.034      0.156      0.034 
49553.2510     -0.157      0.033     -0.233      0.034 
49560.2650     -0.122      0.036      0.068      0.033 
49562.0890      0.116      0.036     -0.110      0.058 
49566.1800      0.033      0.129      0.163      0.124 
49567.2500     -0.107      0.044     -0.209      0.052 
49568.3460     -0.109      0.096     -0.561      0.078 
49569.4210      0.113      0.095     -0.531      0.102 
49573.0910     -0.099      0.051     -0.320      0.049 
49574.2540     -0.048      0.026      0.011      0.023 
49576.4150      0.115      0.341     -0.222      0.364 
49580.0480     -0.024      0.022      0.076      0.023 
49581.2530     -0.007      0.025     -0.148      0.022 
49588.2550      0.086      0.025     -0.064      0.022 
49589.3390     -0.006      0.017      0.021      0.017 
49590.4230     -0.171      0.046      0.001      0.059 
49594.1680      0.222      0.031      0.022      0.030 
49595.2550     -0.028      0.028     -0.196      0.026 
49597.4180      0.076      0.055     -0.040      0.062 
49602.2550      0.053      0.020     -0.038      0.020 
49603.3360     -0.108      0.018      0.120      0.016 
49604.4180     -0.099      0.053      0.199      0.063 
49608.0570      0.070      0.035     -0.158      0.032 
49609.2580      0.065      0.023     -0.139      0.024 
49611.4120      0.039      0.118      0.145      0.112 
49615.0740      0.288      0.065     -0.036      0.067 
49616.2520     -0.087      0.024     -0.204      0.025 
49618.0810     -0.061      0.074     -0.190      0.073 
49623.2520     -0.030      0.021     -0.060      0.021 
49629.0870     -0.081      0.149     -0.017      0.146 
49630.2550      0.004      0.018      0.078      0.020 
49631.3280      0.368      0.063     -0.175      0.073 
49632.4210     -0.063      0.055     -0.169      0.064 
49637.2520      0.050      0.021     -0.233      0.024 
49639.1570      7.554     18.254     -1.024     15.085 
49643.0110      0.042      0.057     -0.013      0.066 
49644.2470      0.158      0.023     -0.146      0.029 
49646.0540      0.009      0.032     -0.246      0.029 
49650.2990      0.153      0.024     -0.001      0.026 
49651.2680      0.239      0.026     -0.093      0.030 
49653.4170      0.094      0.012     -0.187      0.014 
49657.0020      0.116      0.089      0.156      0.085 
49658.2680      0.006      0.020      0.027      0.024 
49659.3400      0.028      0.115     -0.318      0.097 
49664.1000      0.149      0.049     -0.191      0.069 
49665.2710     -0.028      0.031     -0.051      0.048 
49672.2580      0.050      0.023     -0.129      0.027 
49678.0940      0.076      0.020     -0.163      0.028 
49679.2610     -0.009      0.029     -0.251      0.035 
49685.1730     -0.108      0.018     -0.198      0.017 
49686.2560     -0.092      0.021     -0.185      0.024 
49689.4860     -0.153      0.015     -0.144      0.015 
49692.0850     -0.151      0.069     -0.323      0.076 
49693.2590      0.016      0.030     -0.237      0.036 
49699.1650      0.042      0.023      0.047      0.026 
49700.2570      0.113      0.018     -0.203      0.019 
49702.0860     -0.014      0.019     -0.196      0.026 
49706.1630     -0.098      0.019     -0.284      0.019 
49707.2570      0.114      0.023     -0.281      0.028 
49714.2640     -0.110      0.027     -0.236      0.028 
49714.9900      0.030      0.010     -0.151      0.008 
49716.4150     -0.002      0.011     -0.350      0.012 
49721.2540     -0.103      0.023     -0.236      0.022 
49727.0470     -0.034      0.029     -0.108      0.038 
49728.2510     -0.122      0.021     -0.159      0.020 
49735.2540      0.106      0.030     -0.200      0.028 
49741.1660     -0.108      0.012     -0.219      0.013 
49742.2500     -0.065      0.018     -0.160      0.016 
49744.0950     -0.143      0.060     -0.187      0.055 
49748.0900     -0.277      0.204     -0.526      0.196 
49749.2480     -0.143      0.031     -0.049      0.027 
49750.3380      0.077      0.295     -0.394      0.241 
49751.4120     -0.158      0.014     -0.132      0.012 
49756.2570     -0.062      0.051     -0.197      0.048 
49762.0910     -0.550      0.062     -0.229      0.063 
49763.2380     -0.176      0.024     -0.016      0.021 
49764.3200     -0.012      0.027     -0.187      0.034 
49770.2500     -0.261      0.026     -0.047      0.022 
49772.0870      8.515     16.224     32.262     17.013 
49779.0460     -0.258      0.043     -0.017      0.034 
49783.0760      0.129      0.055      0.169      0.054 
49784.2490     -0.102      0.019      0.023      0.018 
49790.1660      0.169      0.045     -0.031      0.041 
49791.2350     -0.071      0.035     -0.037      0.030 
49798.2490     -0.092      0.022      0.091      0.021 
49800.4180     -0.198      0.018     -0.021      0.020 
49804.0790     -0.058      0.053     -0.210      0.052 
49805.2470     -0.168      0.029      0.066      0.027 
49811.0600     -0.065      0.041     -0.028      0.054 
49812.2470     -0.066      0.020      0.004      0.019 
49818.0870     -0.456      0.046     -0.305      0.047 
49819.2500     -0.076      0.028     -0.137      0.032 
49819.9560     -0.046      0.011      0.199      0.014 
49821.4200      0.163      0.080     -0.048      0.092 
49826.2510     -0.273      0.020     -0.038      0.022 
49826.9650     -0.304      0.014     -0.177      0.023 
49828.4160     -0.031      0.012     -0.015      0.013 
49831.9930     -0.244      1.801     -2.879      2.026 
49833.2440     -0.048      0.027      0.079      0.031 
49839.0350     -0.305      0.031      0.164      0.027 
49840.2490     -0.123      0.023     -0.165      0.026 
49847.2450     -0.028      0.026     -0.045      0.034 
49854.2500     -0.246      0.021      0.102      0.023 
49861.2520      0.038      0.051      0.177      0.060 
49862.3320     -0.342      0.055      0.170      0.053 
49868.2530     -0.145      0.022      0.075      0.024 
