Tau Allanstd
7.570343592964824175e+00	5.058646402408040893e-02
1.009379145728643223e+01	4.335195684649548187e-02
1.261723932160803940e+01	4.037823481416834975e-02
1.514068718592964835e+01	3.871570862144856073e-02
1.766413505025125730e+01	3.858154081575632804e-02
2.018758291457286447e+01	3.924865949289787354e-02
2.271103077889447164e+01	4.047466601868850850e-02
2.523447864321607881e+01	4.196248002179204378e-02
2.775792650753768953e+01	4.360334996456788348e-02
3.028137437185929670e+01	4.543524256442984383e-02
3.280482223618090387e+01	4.732207447461445060e-02
3.532827010050251459e+01	4.926360862351195080e-02
3.785171796482411821e+01	5.128745428900480935e-02
4.037516582914572894e+01	5.334547740522295467e-02
4.289861369346733966e+01	5.543257055972223429e-02
4.542206155778894328e+01	5.755118967487562326e-02
4.794550942211055400e+01	5.965410325278351633e-02
5.046895728643215762e+01	6.176137505105731840e-02
5.299240515075376834e+01	6.385820887213597419e-02
5.551585301507537906e+01	6.592752156441268607e-02
5.803930087939698268e+01	6.797510922504079733e-02
6.056274874371859340e+01	6.998667451736326206e-02
6.308619660804020413e+01	7.194529991907672173e-02
6.560964447236180774e+01	7.386042263680851760e-02
6.813309233668341847e+01	7.571419352822592042e-02
7.065654020100502919e+01	7.751132560455115117e-02
7.317998806532663991e+01	7.925587209794812682e-02
7.570343592964823642e+01	8.092989672615985564e-02
7.822688379396984715e+01	8.253906515876470451e-02
8.075033165829145787e+01	8.408131097461056525e-02
8.327377952261306859e+01	8.554673047688558796e-02
8.579722738693467932e+01	8.694227202102203234e-02
8.832067525125627583e+01	8.826508771316191049e-02
9.084412311557788655e+01	8.950685317882986491e-02
9.336757097989949727e+01	9.068041678513522053e-02
9.589101884422110800e+01	9.177632458994942899e-02
9.841446670854271872e+01	9.279534482279749863e-02
1.009379145728643152e+02	9.373970717119776974e-02
1.034613624371859260e+02	9.460469968573456678e-02
1.059848103015075367e+02	9.539250341566631042e-02
1.085082581658291474e+02	9.610807189465429834e-02
1.110317060301507581e+02	9.674249507928116276e-02
1.135551538944723688e+02	9.730327409530843685e-02
1.160786017587939654e+02	9.778655257828371139e-02
1.186020496231155761e+02	9.819072745399246016e-02
1.211254974874371868e+02	9.852395580938207165e-02
1.236489453517587975e+02	9.878085911485173787e-02
1.261723932160804083e+02	9.895987331769992568e-02
1.286958410804020048e+02	9.907481879682224213e-02
1.312192889447236155e+02	9.911373793355476858e-02
1.337427368090452262e+02	9.908161292020935262e-02
1.362661846733668369e+02	9.898558460196729691e-02
1.387896325376884477e+02	9.881533836175444840e-02
1.413130804020100584e+02	9.857976605887616706e-02
1.438365282663316691e+02	9.828238087180193872e-02
1.463599761306532798e+02	9.791448509364415742e-02
1.488834239949748621e+02	9.748574229981842032e-02
1.514068718592964728e+02	9.699516779684265455e-02
1.539303197236180836e+02	9.643908438535736538e-02
1.564537675879396943e+02	9.583149192062033472e-02
1.589772154522613050e+02	9.516403450466025260e-02
1.615006633165829157e+02	9.444122262731344253e-02
1.640241111809045265e+02	9.366981465336615686e-02
1.665475590452261372e+02	9.284533269134304101e-02
1.690710069095477479e+02	9.197272384518262456e-02
1.715944547738693586e+02	9.105654737947169175e-02
1.741179026381909694e+02	9.009175763072839460e-02
1.766413505025125517e+02	8.908731322979752953e-02
1.791647983668341624e+02	8.804092409159477994e-02
1.816882462311557731e+02	8.695053177013485624e-02
1.842116940954773838e+02	8.582862273286422095e-02
1.867351419597989945e+02	8.467058329345963918e-02
