   DATE        X           sigma      Y         sigma 
48111.8360     -0.773      0.567      0.333      0.396 
48113.2600      0.420      0.495     -0.651      0.521 
48114.2490     -0.148      0.268      0.460      0.197 
48115.3310     -0.437      0.232     -0.337      0.276 
48117.2390     -0.483      0.275     -0.456      0.219 
48118.2480     -0.298      0.216     -0.285      0.245 
48119.2480      0.299      0.207     -0.236      0.159 
48120.3420     -0.487      0.169      0.273      0.128 
48124.2510     -0.462      0.099     -0.084      0.106 
48126.2470      0.091      0.164     -0.203      0.184 
48129.2500     -0.181      0.254     -0.353      0.203 
48132.2670     -0.044      0.206     -0.652      0.200 
48134.2450      0.411      0.206      0.260      0.161 
48139.2560      0.367      0.234      0.530      0.181 
48140.2420     -0.344      0.210     -0.005      0.318 
48141.4160     -0.365      0.194      0.500      0.182 
48143.1620     -0.428      0.133     -0.072      0.146 
48144.2530      0.150      0.196      0.438      0.161 
48145.3330     -0.343      0.178      0.041      0.125 
48146.4160      0.142      0.164     -0.027      0.138 
48147.8790     -0.029      0.776     -0.193      0.518 
48149.2490      0.109      0.195      0.159      0.150 
48154.2510      0.106      0.230      0.380      0.193 
48155.3450     -0.103      0.240      0.326      0.187 
48159.2470      0.185      0.136      0.299      0.122 
48160.3460      0.036      0.193      0.001      0.155 
48162.1670      0.316      0.193      0.160      0.151 
48164.2460      0.298      0.139      0.141      0.140 
48167.2420     -0.218      0.253      0.208      0.194 
48169.2480     -0.096      0.320      0.670      0.326 
48170.3390      0.180      0.101     -0.138      0.090 
48172.1650      0.382      0.322      0.267      0.363 
48173.1740      0.478      0.405     -0.337      0.386 
48174.2550     -0.641      0.709     -0.069      0.454 
48175.3320      0.088      0.166      0.266      0.152 
48176.4210      0.013      0.158     -0.209      0.174 
48179.2440      0.585      0.732      1.147      0.499 
48179.8310     -0.703      0.685     -0.184      0.552 
48181.2730     -0.328      0.206     -0.020      0.145 
48183.1610     -0.043      0.160     -0.208      0.149 
48184.2500      0.285      0.134      0.215      0.156 
48186.1650     -0.858      0.620     -0.327      0.424 
48187.1760     -0.847      0.707     -0.423      0.475 
48188.3440      0.408      0.577     -0.245      0.607 
48189.2490      0.354      0.127      0.216      0.148 
48190.3320     -0.121      0.107      0.029      0.113 
48192.1670     -0.089      0.210      0.000      0.144 
48193.1670      0.428      0.199      0.256      0.143 
48194.2440      0.898      0.851      0.600      0.715 
48195.3350      0.360      0.699      0.037      0.762 
48196.4010     -0.059      0.171      0.118      0.186 
48199.2500      0.076      0.131     -0.006      0.174 
48201.3330     -0.832      0.518     -0.515      0.705 
48202.2490      0.354      0.184     -0.216      0.176 
48202.8360      1.258      0.610      1.215      0.839 
48204.2460      0.143      0.125      0.023      0.205 
48206.1650      0.679      0.571      0.511      0.439 
48207.1760     -0.157      0.774      0.076      0.428 
48209.2480      0.016      0.105      0.043      0.142 
48210.3170     -0.148      0.231      0.129      0.295 
48213.1670     -0.081      0.111      0.040      0.130 
48214.2490      0.007      0.121      0.022      0.167 
48216.2480      0.520      0.275      0.284      0.294 
48219.2460     -0.083      0.110      0.142      0.154 
48222.0760     -0.076      0.099     -0.109      0.112 
48223.1670     -0.387      0.469      0.486      0.361 
48224.2240      0.386      0.430      0.381      0.283 
48225.3490     -0.164      0.076      0.238      0.116 
48229.2500      0.159      0.591      0.542      0.309 
