Tau Allanstd
6.810314748540214680e+00	5.362536024029446180e-02
9.080419664720286832e+00	4.758450322579208663e-02
1.135052458090035898e+01	4.399995210850456834e-02
1.362062949708042936e+01	4.173326860042352732e-02
1.589073441326050151e+01	4.059528376154636353e-02
1.816083932944057366e+01	4.048099550668090435e-02
2.043094424562064404e+01	4.114430563672655250e-02
2.270104916180071797e+01	4.237423554150180488e-02
2.497115407798078834e+01	4.392603158200814734e-02
2.724125899416085872e+01	4.566258271182216388e-02
2.951136391034093265e+01	4.752208520071738579e-02
3.178146882652100302e+01	4.946542050976234645e-02
3.405157374270107340e+01	5.142933343476790292e-02
3.632167865888114733e+01	5.341902517392356498e-02
3.859178357506122126e+01	5.542505219118740861e-02
4.086188849124128808e+01	5.741991342907322438e-02
4.313199340742136201e+01	5.940638954685965173e-02
4.540209832360143594e+01	6.136468021277168006e-02
4.767220323978150276e+01	6.328614492393540292e-02
4.994230815596157669e+01	6.518496714193079689e-02
5.221241307214165062e+01	6.705467538467103916e-02
5.448251798832171744e+01	6.887731027692366170e-02
5.675262290450179137e+01	7.066500157563974927e-02
5.902272782068186530e+01	7.241580670057594371e-02
6.129283273686193922e+01	7.411509553672716855e-02
6.356293765304200605e+01	7.577509145511351907e-02
6.583304256922207287e+01	7.740353757564938375e-02
6.810314748540214680e+01	7.898307907190453558e-02
7.037325240158222073e+01	8.052213273934000215e-02
7.264335731776229466e+01	8.201956135075783028e-02
7.491346223394236858e+01	8.346501547747744998e-02
7.718356715012244251e+01	8.486452923875820176e-02
7.945367206630251644e+01	8.622628163058340678e-02
8.172377698248257616e+01	8.753586406251163965e-02
8.399388189866265009e+01	8.879196981790525578e-02
8.626398681484272402e+01	9.000526081495287267e-02
8.853409173102279794e+01	9.116354482738925347e-02
9.080419664720287187e+01	9.226635656909455696e-02
9.307430156338294580e+01	9.332364213085871107e-02
9.534440647956300552e+01	9.432422389077094182e-02
9.761451139574307945e+01	9.526478656982163840e-02
9.988461631192315338e+01	9.615738178200684827e-02
