   DATE        X           sigma      Y         sigma 
48120.3420     -0.435      0.168      0.270      0.127 
48124.2510     -0.405      0.089     -0.096      0.100 
48126.2470      0.071      0.169     -0.197      0.183 
48129.2500     -0.190      0.263     -0.420      0.210 
48132.2670      0.046      0.173     -0.641      0.165 
48134.2450      0.371      0.199      0.206      0.152 
48139.2560      0.527      0.221      0.579      0.170 
48140.2420     -0.292      0.238     -0.184      0.349 
48141.4160     -0.330      0.189      0.557      0.174 
48143.1620     -0.454      0.130     -0.054      0.150 
48144.2530      0.210      0.196      0.436      0.162 
48145.3330     -0.357      0.161      0.016      0.112 
48146.4160      0.204      0.155     -0.137      0.134 
48149.2490      0.127      0.192      0.194      0.147 
48154.2510      0.177      0.216      0.397      0.183 
48155.3450     -0.151      0.222      0.369      0.175 
48159.2470      0.189      0.134      0.262      0.120 
48160.3460      0.030      0.191      0.105      0.154 
48162.1670      0.316      0.190      0.197      0.145 
48164.2460      0.374      0.133      0.203      0.134 
48167.2420     -0.266      0.259      0.387      0.197 
48169.2480     -0.084      0.274      0.671      0.284 
48170.3390      0.135      0.091     -0.164      0.081 
48172.1650      0.388      0.374      0.484      0.439 
48173.1740      0.309      0.497     -0.175      0.436 
48174.2550      0.349      0.722      0.245      0.475 
48175.3320      0.127      0.167      0.269      0.153 
48176.4210     -0.105      0.176     -0.246      0.175 
48179.2510     -0.025      0.125      0.325      0.138 
48180.3280     -0.800      0.739      0.211      0.854 
48181.2730     -0.351      0.191     -0.029      0.138 
48183.1610     -0.028      0.157     -0.171      0.146 
48184.2500      0.304      0.134      0.205      0.158 
48186.1650     -0.316      0.710     -0.419      0.488 
48187.1760     -0.762      0.626     -0.507      0.429 
48188.3440      0.104      0.490     -0.176      0.533 
48189.2490      0.383      0.121      0.191      0.144 
48190.3320     -0.168      0.107      0.034      0.113 
48192.1670     -0.045      0.218     -0.036      0.149 
48193.1670      0.433      0.200      0.290      0.144 
48194.2440      0.798      0.779      0.509      0.635 
48195.3350      0.920      0.715      0.819      0.705 
48196.4010     -0.056      0.166      0.082      0.184 
48199.2500      0.126      0.128      0.011      0.172 
48201.3330     -0.707      0.512      0.075      0.698 
48202.2490      0.240      0.173     -0.272      0.166 
48204.2460      0.144      0.130     -0.011      0.216 
48206.1650      0.825      0.544      0.653      0.405 
48207.1760     -0.366      0.865      0.165      0.478 
48209.2480      0.003      0.104      0.025      0.138 
48210.3170     -0.022      0.217      0.389      0.263 
48213.1670     -0.122      0.099     -0.046      0.115 
48214.2490      0.021      0.117      0.043      0.161 
48216.2480      0.880      0.253      0.436      0.264 
48219.2460     -0.059      0.108      0.174      0.152 
