   DATE        X           sigma      Y         sigma 
48174.2550     -0.422      0.777     -0.302      0.553 
48175.3320     -0.290      0.193      0.199      0.181 
48176.4210      0.272      0.188     -0.261      0.196 
48179.2450      0.214      1.063      1.050      0.800 
48181.2730     -0.294      0.218     -0.119      0.151 
48183.1590     -0.145      0.163      0.108      0.152 
48184.2500      0.162      0.144      0.281      0.162 
48187.2540     -0.008      0.207     -0.210      0.160 
48188.3450      0.982      0.587      0.198      0.706 
48189.2500      0.422      0.130      0.000      0.145 
48190.3320     -0.123      0.106      0.103      0.099 
48192.1680      0.004      0.206      0.109      0.149 
48193.1680      0.713      0.209      0.254      0.158 
48194.2450      1.204      0.919      1.649      0.813 
48195.3360      0.981      0.860      0.848      1.021 
48196.4020      0.172      0.201      0.298      0.180 
48199.2500     -0.209      0.133     -0.253      0.188 
48202.2490      0.220      0.184     -0.100      0.173 
48204.2460      0.068      0.128      0.202      0.212 
48209.2480     -0.019      0.109     -0.086      0.148 
48210.3180     -0.006      0.317      0.053      0.342 
48213.1680     -0.062      0.122      0.089      0.155 
48214.2490     -0.144      0.128     -0.087      0.173 
48216.2480      0.303      0.301      0.229      0.275 
48219.2460     -0.013      0.111     -0.031      0.157 
48222.0770     -0.207      0.105      0.004      0.114 
48223.1680     -0.038      0.460      0.658      0.382 
48224.2510     -0.151      0.145      0.497      0.204 
48225.3500     -0.173      0.078      0.306      0.112 
48229.2500      0.344      0.649      0.473      0.409 
48231.2500      0.724      0.290      0.734      0.368 
48234.2560      0.261      0.130      0.263      0.177 
48236.2500      0.180      0.106      0.217      0.121 
48237.3340     -0.161      0.166     -0.198      0.201 
48239.2500     -0.201      0.116      0.424      0.158 
48240.3350      0.334      0.101      0.526      0.142 
48243.1700      0.433      0.195      0.639      0.192 
48244.2500     -0.386      0.191      0.304      0.208 
48246.2650     -0.091      0.295     -0.181      0.180 
48248.5160      0.372      0.326     -0.556      0.199 
48252.3230      0.755      0.177      0.219      0.204 
48254.2500      0.058      0.131     -0.188      0.171 
48259.2500      0.237      0.137      0.442      0.151 
48260.3500      0.265      0.275      0.335      0.360 
48262.7320     -0.414      0.300      0.580      0.213 
48264.2500      0.207      0.123      0.128      0.139 
48265.3520      0.322      0.247     -0.082      0.305 
48267.1680      0.069      0.209      0.309      0.246 
48269.2520      0.397      0.164      0.445      0.166 
48272.3270      0.340      0.280     -0.173      0.328 
48273.1690     -0.010      0.194     -0.050      0.223 
48274.2490      0.057      0.126     -0.108      0.125 
48279.2490      0.146      0.284      0.493      0.261 
48280.3450     -0.002      0.184     -0.036      0.222 
48284.2520     -0.004      0.129      0.022      0.109 
48285.3340      0.252      0.247     -0.557      0.319 
48287.2490      0.467      0.151     -0.181      0.180 
48289.2430      0.169      0.161      0.159      0.136 
48292.2520      0.204      0.134      0.190      0.156 
48294.2500      0.111      0.145     -0.110      0.108 
48295.3430      0.040      0.281      0.289      0.394 
48299.2460      0.296      0.273      0.312      0.264 
48300.3330      0.348      0.092      0.095      0.086 
48301.4100      0.513      0.288     -0.205      0.236 
48304.2570      0.181      0.263      0.043      0.196 
48307.2710     -0.219      0.171     -0.087      0.181 
48309.2470      0.310      0.130     -0.214      0.095 
48312.2470      0.267      0.135      0.024      0.177 
48314.2480      0.431      0.129      0.003      0.099 
48315.3320      0.371      0.365      0.032      0.306 
48316.4170      0.037      0.218     -0.018      0.185 
48319.2500      0.237      0.214     -0.007      0.207 
48322.2320      0.240      0.224      0.167      0.238 
48324.2520      0.409      0.122     -0.082      0.097 
48327.2670      0.619      0.255      0.081      0.206 
48327.9770     -9.513      6.359     -0.320      3.799 
48329.2520      0.306      0.139      0.193      0.106 
48330.3340      0.301      0.075     -0.109      0.071 
48331.4160     -0.416      0.291     -0.025      0.187 
48334.2500      0.288      0.167     -0.082      0.138 
48336.4140      0.409      0.269      0.033      0.198 
48339.2500      0.280      0.153     -0.260      0.129 
48339.9380     -0.154      0.148      0.028      0.130 
48341.1660      0.391      0.171     -0.153      0.149 
48344.2500     -0.141      0.146      0.026      0.136 
48348.1660      0.132      0.180     -0.674      0.217 
48349.2550      0.540      0.220     -0.398      0.194 
48350.3640      0.591      0.286      0.094      0.196 
48354.2500      0.607      0.149     -0.032      0.142 
48356.2590      0.060      0.218     -0.093      0.165 
48357.3360      0.499      0.699     -0.416      0.521 
48358.4160      0.304      0.616     -0.178      0.724 
48359.2520      0.229      0.114     -0.020      0.125 
48361.9300     -0.044      0.109      0.148      0.127 
48364.2450      0.123      0.132     -0.277      0.147 
48365.3340      0.122      0.088     -0.095      0.083 
48368.8320      0.299      0.129     -0.170      0.164 
48370.3320      0.240      0.124     -0.431      0.135 
48371.2470     -0.117      0.897      0.093      0.659 
48372.3640      0.265      0.267     -0.151      0.211 
48375.8320     -0.012      0.123     -0.124      0.157 
48378.2510      0.245      0.243      0.176      0.180 
48379.3460      0.253      0.247     -0.263      0.276 
48382.8330      0.195      0.128     -0.169      0.150 
48384.1660      0.176      0.112     -0.467      0.131 
48386.2690      0.273      0.227      0.128      0.158 
48389.8320      0.437      0.119     -0.407      0.149 
48390.9140      0.042      0.131     -0.148      0.129 
48393.2510      0.431      0.227      0.026      0.184 
48396.8340     -0.140      0.117     -0.170      0.140 
48398.2510     -0.076      0.086     -0.225      0.080 
48400.2570     -0.137      0.193      0.018      0.142 
48403.8320     -0.247      0.135     -0.377      0.160 
48406.2620      0.658      0.522     -1.775      0.536 
48407.3580      0.655      0.290     -0.189      0.317 
48410.8340     -0.151      0.130      0.018      0.135 
48414.2730      0.391      0.202      0.152      0.200 
48417.8320     -0.243      0.140     -0.511      0.149 
48419.1700     -0.264      0.145     -0.149      0.147 
48421.2620      0.072      0.171     -0.157      0.168 
48424.8330      0.012      0.141      0.014      0.138 
48428.2570     -0.059      0.164     -0.266      0.161 
48431.8330      0.639      0.145     -0.261      0.142 
48433.1750     -0.040      0.312     -0.688      0.219 
48434.2480      0.521      0.434     -0.179      0.619 
48435.3500      0.287      0.225     -0.587      0.300 
48436.4180      0.046      0.088     -0.250      0.088 
48437.5430      0.553      0.186      0.056      0.144 
48438.8340      0.071      0.135     -0.187      0.110 
48440.2800     -0.125      0.183     -0.193      0.189 
48441.5890      1.841      0.742      0.313      1.001 
48445.8340      0.637      0.167     -0.090      0.146 
48447.0860      0.088      0.302     -0.046      0.202 
48448.1680      0.099      0.085     -0.310      0.090 
48449.2680     -0.056      0.157     -0.171      0.178 
48450.3320      0.332      0.192     -0.049      0.208 
48451.3320     -0.318      0.229     -0.494      0.235 
48452.8330      0.064      0.141      0.149      0.115 
48454.1730      0.181      0.134     -0.102      0.117 
48456.1660     -0.238      0.074      0.051      0.089 
48457.4300     -0.430      0.246      0.213      0.213 
48459.2500     -0.039      0.152      0.269      0.164 
48463.2600     -0.161      0.305     -0.068      0.308 
48467.2520      0.309      0.166     -0.165      0.128 
48468.3340      0.109      0.290     -0.306      0.269 
48470.2590      0.173      0.254     -0.288      0.294 
48471.3360      0.409      0.179      0.078      0.163 
48472.4160      0.389      0.169     -0.069      0.126 
48473.8330      0.107      0.176     -0.049      0.146 
48475.0820     -0.031      0.138     -0.011      0.126 
48477.2630     -0.157      0.215     -0.461      0.268 
48480.8320     -0.200      0.157      0.622      0.136 
48484.2770     -0.675      0.176      0.434      0.191 
48485.3340      0.244      0.311      0.429      0.230 
48487.8360      0.054      0.234      0.481      0.194 
48489.1680     -0.390      0.305      0.274      0.264 
48490.2500      0.078      0.105     -0.129      0.101 
48491.3430      0.413      0.212      0.031      0.171 
48494.3330     -0.169      0.086      0.049      0.104 
48495.4230     -0.418      0.192     -0.517      0.140 
48497.2520      0.367      0.324      0.462      0.440 
48498.3600     -0.358      0.215     -0.710      0.187 
48501.8340     -0.216      0.183      0.247      0.233 
48504.1680     -0.299      0.150     -0.190      0.120 
48505.3570     -0.134      0.198      0.191      0.172 
48506.4190     -0.020      0.094      0.013      0.091 
48508.1870     -0.389      0.163     -0.125      0.244 
48509.2480      0.440      0.532     -0.454      0.428 
48512.2730     -0.513      0.182      0.421      0.165 
48513.3360     -0.461      0.240      0.382      0.212 
48515.8360     -0.194      0.159     -0.021      0.179 
48519.2660     -0.158      0.219      0.099      0.170 
48522.8340     -0.392      0.149      0.523      0.175 
48524.2540     -0.559      0.224     -0.056      0.179 
48525.0830     -0.277      0.178      0.242      0.252 
48526.2850     -0.321      0.208     -0.114      0.181 
48529.8340      0.012      0.119     -0.200      0.140 
48532.2480      0.129      0.245      0.125      0.209 
48533.3340     -0.232      0.207     -0.318      0.161 
48536.8320     -0.134      0.134      0.109      0.166 
48538.2570     -0.233      0.502      0.503      0.408 
48540.2570      0.169      0.211     -0.007      0.154 
48543.8320     -0.132      0.113      0.282      0.139 
48544.9780      0.005      0.080     -0.005      0.083 
48546.1890     -0.304      0.084      0.261      0.073 
48547.3340     -0.379      0.274      0.270      0.237 
48548.4760     -0.070      0.075      0.072      0.087 
48549.6880     -0.091      0.063     -0.064      0.059 
48550.8340     -0.382      0.161      0.124      0.189 
48551.9800     -0.171      0.077      0.228      0.082 
48553.1860      0.115      0.110      0.022      0.117 
48554.3360      1.553      0.635      2.910      0.956 
48555.4170     -0.554      0.232      0.431      0.302 
48557.8340     -0.007      0.112     -0.012      0.130 
48559.1670     -0.019      0.130      0.464      0.119 
48561.2540      0.117      0.203     -0.024      0.145 
48562.4180     -0.180      0.079     -0.013      0.088 
48564.8340     -0.172      0.131      0.099      0.146 
48568.2530      0.008      0.165      0.099      0.139 
48569.3340      0.254      0.153     -0.004      0.202 
48571.8360      0.171      0.391      0.446      0.404 
