   DATE        X           sigma      Y         sigma 
48106.3320     -0.187      0.332      0.136      0.251 
48107.3370      0.135      0.326     -0.336      0.247 
48109.2590     -0.707      0.405      0.925      0.403 
48110.4360     -1.632      1.160      3.822      1.729 
48111.2510     -0.381      0.128     -0.018      0.184 
48111.8360     -0.681      0.389      0.528      0.244 
48113.2610      0.317      0.457     -0.750      0.478 
48114.2500     -0.385      0.225      0.651      0.154 
48115.3320     -0.548      0.218     -0.319      0.269 
48117.2390     -0.321      0.189     -0.418      0.153 
48118.2480     -0.508      0.210     -0.276      0.234 
48119.2480      0.114      0.163     -0.291      0.130 
48120.3420     -0.614      0.159      0.170      0.117 
48124.2520     -0.376      0.088     -0.050      0.094 
48126.2470      0.085      0.164     -0.169      0.174 
48129.2500     -0.300      0.236     -0.454      0.177 
48132.2680     -0.079      0.182     -0.821      0.173 
48134.2460      0.247      0.189      0.049      0.139 
48139.2560      0.572      0.191      0.557      0.144 
48140.2430     -0.537      0.263     -0.237      0.396 
48141.4160     -0.290      0.182      0.457      0.174 
48143.1630     -0.467      0.117     -0.047      0.124 
48144.2530      0.189      0.179      0.204      0.142 
48145.3330     -0.539      0.166     -0.051      0.115 
48146.4160      0.137      0.165     -0.207      0.141 
48147.8800     -0.400      0.403      0.113      0.259 
48149.2490     -0.037      0.174      0.017      0.131 
48154.2520      0.092      0.190      0.351      0.156 
48155.3460     -0.112      0.214      0.270      0.169 
48158.2920      1.148      2.303      1.103      2.701 
48159.2480      0.138      0.120      0.125      0.105 
48159.7860     -0.496      0.483      0.168      0.586 
48160.3460     -0.059      0.189     -0.007      0.154 
48161.7800     -1.562      1.027     -0.669      0.942 
48164.2460      0.147      0.117      0.208      0.115 
48167.2420     -0.166      0.225      0.201      0.180 
48169.2480      0.019      0.257      0.510      0.278 
48170.3390      0.005      0.089     -0.221      0.077 
48172.1660      0.484      0.247      0.078      0.292 
48173.1740      0.155      0.337     -0.272      0.310 
48174.2550     -0.022      0.815      0.215      0.538 
48175.3320      0.056      0.173      0.191      0.158 
48176.4210     -0.024      0.166     -0.332      0.178 
48179.2450      0.681      0.738      1.190      0.492 
48179.8320     -1.273      0.418     -0.532      0.294 
48181.2730     -0.549      0.198     -0.165      0.146 
48183.1610     -0.088      0.102     -0.302      0.102 
48184.2500      0.274      0.121      0.035      0.141 
48186.1660     -0.651      0.605     -0.271      0.405 
48187.1760     -0.762      0.643     -0.510      0.437 
48188.3450     -0.047      0.669     -0.717      0.713 
48189.2500      0.337      0.114      0.023      0.134 
48190.3320     -0.177      0.103     -0.097      0.112 
48192.1680      0.607      0.178     -0.046      0.122 
48193.1680      0.555      0.165      0.043      0.112 
48194.2450      7.585      0.800      6.127      0.666 
48195.3360      6.640      0.775      4.340      0.858 
48196.3170      2.917      4.191      0.385      1.162 
48199.2500      0.084      0.111     -0.122      0.147 
48201.3340     -0.862      0.461     -0.694      0.640 
48202.3460     -0.698      0.365     -0.028      0.566 
48204.2460      0.056      0.113     -0.110      0.192 
48206.0980      0.335      4.081     -0.666      2.664 
48207.1330     21.484     10.633    -25.863     12.863 
48209.2480     -0.132      0.101     -0.201      0.133 
48210.3180     -0.273      0.211     -0.168      0.268 
48213.1680     -0.329      0.115      0.126      0.136 
48214.2490      0.160      0.109     -0.023      0.150 
48216.2480     -0.040      0.231     -0.648      0.207 
48219.2460     -0.208      0.098      0.107      0.140 
48222.0770     -0.260      0.071     -0.148      0.088 
48223.1680     -0.394      0.409      0.487      0.319 
48224.2240      0.289      0.400      0.355      0.256 
48225.3500     -0.179      0.073      0.178      0.114 
48229.2500      0.114      0.540      0.430      0.295 
48231.2500      0.251      0.246      0.451      0.358 
48234.2560      0.339      0.111     -0.033      0.165 
48235.7070      0.772     25.658      9.795     21.260 
48236.2500     -0.024      0.082      0.397      0.095 
48237.3340     -0.197      0.129      0.114      0.177 
48239.2500     -0.065      0.104      0.248      0.152 
48240.3350      0.360      0.075      0.559      0.119 
48243.1700      0.288      0.193      0.293      0.145 
48244.2500     -0.603      0.188      0.222      0.213 
48246.2650     -0.366      0.345      0.046      0.242 
48248.5160     -0.135      0.229     -0.242      0.143 
48252.3230      0.383      0.165      0.178      0.168 
48253.4210      0.243      0.407     -0.415      0.507 
48254.2500     -0.012      0.115     -0.073      0.145 
48255.8650     -2.788      6.714     -1.604      2.352 
48259.2500      0.207      0.137      0.269      0.149 
48260.3500      0.024      0.214      0.174      0.274 
48262.7320      0.076      0.353      0.417      0.257 
48264.2500      0.181      0.132      0.036      0.140 
48265.3520      0.053      0.167      0.086      0.221 
48266.1180     -0.330      0.820     -0.165      0.577 
48267.1680     -0.164      0.193      0.055      0.176 
48269.2520      0.257      0.174      0.106      0.170 
48272.3270      0.455      0.215     -0.053      0.268 
48273.1690      0.011      0.137      0.047      0.125 
48274.2490      0.152      0.133     -0.120      0.130 
48279.2490      0.368      0.231      0.231      0.232 
48280.3450     -0.135      0.164     -0.109      0.184 
48284.2520      0.055      0.135     -0.138      0.113 
48285.3340      0.135      0.197      0.013      0.217 
48287.2490      0.363      0.179     -0.377      0.185 
48289.2430      0.106      0.188      0.103      0.158 
48292.2520      0.244      0.127      0.114      0.158 
48294.2500      0.093      0.157     -0.200      0.120 
48295.3430     -0.163      0.216      0.076      0.264 
48298.4040      0.246      1.325     -0.379      1.445 
48299.2460      0.169      0.210     -0.240      0.222 
48300.3330      0.253      0.095      0.004      0.084 
48301.4100      0.157      0.250     -0.250      0.196 
48304.2570     -0.055      0.252     -0.112      0.180 
48307.2710     -0.232      0.164     -0.301      0.173 
48309.2470      0.323      0.140     -0.131      0.105 
48312.2470      0.167      0.114     -0.007      0.146 
48314.2480      0.331      0.136     -0.074      0.110 
48315.3320      0.215      0.257     -0.068      0.215 
48316.4170      0.125      0.246     -0.288      0.191 
48319.2500      0.081      0.188     -0.124      0.185 
48322.2320     -0.077      0.188      0.154      0.202 
48324.2520      0.461      0.127     -0.146      0.105 
48327.2670      0.379      0.194      0.020      0.176 
48327.9770     -8.008      6.259     -2.264      3.720 
48329.2520      0.134      0.145     -0.028      0.111 
48330.3340      0.107      0.077     -0.175      0.072 
48331.4160     -0.645      0.247     -0.101      0.190 
48334.2500      0.133      0.158     -0.230      0.140 
48336.4140      0.025      0.209     -0.244      0.165 
48339.2500      0.384      0.153     -0.185      0.129 
48339.9380     -0.050      0.121      0.015      0.106 
48341.1660      0.243      0.154     -0.324      0.132 
48344.2500     -0.405      0.145      0.101      0.144 
48345.4580     -1.790      5.038     -2.865      6.201 
48348.1010     -2.477      1.093     -2.166      1.052 
48349.2550      0.340      0.200     -0.475      0.173 
48350.3640      0.492      0.227     -0.167      0.168 
48353.1260      3.079      2.058     -1.845      0.563 
48354.2500      0.342      0.139     -0.134      0.138 
48355.5840     -0.124      2.552      0.781      0.835 
48356.2590     -0.174      0.186     -0.208      0.146 
48357.3360      0.276      0.640     -0.405      0.451 
48358.4160      1.573      0.509      1.773      0.658 
48359.2520      0.224      0.125     -0.214      0.131 
48361.9300     -0.034      0.090      0.028      0.106 
48364.2450      0.071      0.145     -0.414      0.151 
48365.3340     -0.004      0.089     -0.218      0.084 
48368.8320      0.300      0.114     -0.136      0.165 
48370.3360      0.347      0.101     -0.491      0.125 
48371.2470     -5.341      0.893      2.003      0.612 
48372.3640      0.052      0.177      0.068      0.166 
48375.8320      0.005      0.118     -0.163      0.162 
48378.2510     -0.031      0.280      0.030      0.193 
48379.3460     -0.101      0.176     -0.338      0.232 
48382.8330      0.114      0.114     -0.023      0.154 
48384.1660     -0.020      0.106     -0.545      0.125 
